,ceo,country,market_value_jan_2020,market_value_jan_2021,market_value_jan_2022,name,employees_2022,revenue_2022,sector
946,,germany,doll_2.61 m,doll_3.02 m,doll_2.85 m,software ag,,919 million usd,technology
947,,italy,doll_1.57 m,doll_2.32 m,doll_2.85 m,falck renewables,,627 million usd,utilities
948,,luxembourg,doll_5.1 m,doll_3.92 m,doll_2.85 m,millicom international cellular,"22,000",doll_4.617 m,communication services
949,,germany,doll_2.45 m,doll_3.35 m,doll_2.85 m,gerresheimer ag,"9,872",doll_1.652 m,healthcare
950,,uk,doll_4.82 m,doll_4.2 m,doll_2.84 m,ashmore group,,299 million usd,financial services
951,,uk,0,0,doll_2.84 m,paysafe limited,,doll_1.487 m,technology
952,,uk,0,0,doll_2.83 m,templeton emerging markets investment trust plc,,doll_1.257 m,financial services
953,,sweden,doll_2.08 m,doll_2.69 m,doll_2.83 m,bravida holding ab (publ),,doll_2.319 m,industries
954,,uk,0,doll_2.7 m,doll_2.82 m,wh smith,"14,321",doll_1.176 m,retail
955,,poland,doll_2.47 m,doll_2.33 m,doll_2.82 m,orange polska,,doll_2.813 m,communication services
956,,germany,doll_2.1 m,doll_2.04 m,doll_2.82 m,mvv energie ag,,doll_4.669 m,utilities
957,,germany,0,0,doll_2.82 m,nagarro se,,546 million usd,technology
958,,belgium,doll_2.9 m,doll_2.93 m,doll_2.81 m,solvac,,329 million usd,basic materials
959,,germany,doll_2.12 m,doll_2.61 m,doll_2.8 m,kws saat se & co. kgaa,"5,709",doll_1.310 m,consumer defensive
960,,iceland,doll_3.4 m,doll_3.36 m,doll_2.8 m,ossur,"4,000",718 million usd,healthcare
961,,france,doll_3.78 m,doll_2.6 m,doll_2.79 m,eutelsat communications,,doll_1.233 m,technology
962,,uk,doll_3.9 m,doll_2.44 m,doll_2.79 m,ssp group,"39,549",doll_1.107 m,consumer cyclical
963,,russia,doll_4.05 m,doll_3.82 m,doll_2.78 m,federal grid company of unified energy system,,doll_3.900 m,utilities
964,,germany,0,0,doll_2.78 m,h&k ag,,,industries
965,,netherlands,doll_1.86 m,doll_3.33 m,doll_2.77 m,corbion,"2,267",doll_1.180 m,basic materials
966,,portugal,doll_3.56 m,doll_2.27 m,doll_2.77 m,banco comercial portugues,,,financial services
967,,uk,0,doll_2.8 m,doll_2.77 m,assura,,160 million usd,real estate
968,,uk,doll_2.23 m,doll_2.01 m,doll_2.77 m,pagegroup,,doll_1.935 m,industries
969,,luxembourg,doll_3.44 m,doll_2.54 m,doll_2.77 m,samsonite international,"14,500",doll_2.020 m,consumer cyclical
970,,uk,0,doll_2.67 m,doll_2.76 m,finsbury growth & income trust,,279 million usd,asset management
971,,portugal,0,0,doll_2.76 m,"the navigator company, s.a.",,doll_1.595 m,paper and pulp
972,,belgium,doll_1.73 m,doll_1.9 m,doll_2.75 m,nv bekaert sa,,doll_5.337 m,industries
973,,russia,doll_2.79 m,doll_2.25 m,doll_2.75 m,nizhnekamskneftekhim,,doll_2.527 m,basic materials
974,,netherlands,doll_1.82 m,doll_1.26 m,doll_2.74 m,cnova,,doll_2.389 m,consumer cyclical
975,,sweden,doll_3.29 m,doll_2.71 m,doll_2.74 m,atrium ljungberg ab (publ),,328 million usd,real estate
976,,uk,doll_2.33 m,doll_2.53 m,doll_2.73 m,cranswick,"6,988",doll_2.365 m,consumer defensive
977,,norway,doll_0.65 m,doll_1.17 m,doll_2.73 m,arendals fossekompani asa,,476 million usd,utilities
978,,malta,doll_14.61 m,doll_22.59 m,doll_2.73 m,kindred group,"1,564",doll_1.671 m,consumer cyclical
979,,sweden,doll_0.9 m,doll_1.47 m,doll_2.73 m,hms networks ab (publ),,209 million usd,technology
980,,uk,0,doll_2.76 m,doll_2.72 m,primary health properties,,192 million usd,real estate
981,,sweden,doll_1.11 m,doll_1.87 m,doll_2.71 m,lagercrantz group ab (publ),,517 million usd,technology
982,,uk,0,doll_1.74 m,doll_2.71 m,hg capital trust,,803 million usd,asset management
983,,france,doll_2.51 m,doll_2.68 m,doll_2.7 m,robertet sa,,606 million usd,basic materials
984,,germany,doll_1.03 m,doll_1.95 m,doll_2.7 m,secunet security networks,,337 million usd,technology
985,,malta,0,0,doll_2.69 m,unibet group plc,,,consumer cyclical
986,,switzerland,doll_2.96 m,doll_2.34 m,doll_2.67 m,dormakaba holding ag,,doll_2.861 m,industries
987,,norway,doll_1.16 m,doll_1.13 m,doll_2.67 m,wallenius wilhelmsen asa,,doll_3.884 m,industries
988,,uk,doll_2.18 m,doll_1.87 m,doll_2.67 m,savills,,0 million usd,real estate
989,,france,0,0,doll_2.67 m,technip energies n.v.,,doll_7.096 m,energy
990,,spain,doll_3.02 m,doll_2.55 m,doll_2.65 m,compania de distribucion integral logista holdings,,doll_11.930 m,industries
991,,france,doll_1.85 m,doll_1.96 m,doll_2.65 m,constellium se,,doll_6.150 m,basic materials
992,,switzerland,doll_0.98 m,doll_1.72 m,doll_2.65 m,comet holding ag,,549 million usd,technology
993,,denmark,doll_0.87 m,doll_1.78 m,doll_2.64 m,bavarian nordic a/s,,255 million usd,healthcare
994,,germany,0,0,doll_2.63 m,encavis ag,,332 million usd,utilities
995,,uk,doll_1.95 m,doll_2.03 m,doll_2.62 m,domino's pizza group,,743 million usd,consumer cyclical
996,,germany,doll_7.1 m,doll_10.74 m,doll_2.62 m,teamviewer ag,"1,200",553 million usd,technology
997,,germany,doll_1.46 m,doll_2.01 m,doll_2.61 m,gag immobilien ag,,390 million usd,real estate
998,,france,doll_2.79 m,doll_2.39 m,doll_2.6 m,nexity sa,,doll_4.467 m,real estate
999,,sweden,doll_1.85 m,doll_2.23 m,doll_2.6 m,fastpartner ab (publ),,175 million usd,real estate
