address_name,city,country,name,location_type,postalcode,state,trade_name
500 s buena vista st,burbank,united states,twdc enterprises 18 corp.,headquarter,915210001,california(ca),
450 longwater avenue green park,reading,united kingdom,hutchison 3g uk limited,,              rg2 6gf,united kingdom,THREE
viale europa 175,roma,italy,sda express courier spa,headquarter,144,italy,
"karsa, suure-rootsi kula",saaremaa vald,estonia,heimon kala ou,single address,94129,estonia,
500 s buena vista st,burbank,united states,"walt disney company, the",headquarter,915210007,california(ca),DISNEY
28 chancery lane,london,united kingdom,company 3 / method london limited,,              wc2a 1lb,united kingdom,COMPANY 3
via degli aldobrandeschi 300,roma,italy,lottomatica spa,headquarter,163,italy,
102c parnu mnt,tallinn,estonia,kuehne + nagel as,single address,11312,estonia,
251 little falls dr,wilmington,united states,corporation service company,headquarter,198081674,delaware(de),
sleepy hollow aylesbury road,thame,united kingdom,travelodge hotels limited,,              ox9 3at,united kingdom,Travelodge
via dei missaglia 89,milano,italy,bymycar italia srl,headquarter,20142,italy,
paasukese tn 2,tallinn,estonia,estateguru capital ou,headquarter,10145,estonia,
251 little falls dr,wilmington,united states,"csc corporate domains, inc.",headquarter,198081674,delaware(de),CORPORATION SERVICE COMPANY
marfleet lane,hull,united kingdom,j.h. fenner & co. limited,,              hu9 5ra,united kingdom,FENNER DUNLOP ECS UK
via dei missaglia 89,milano,italy,bm bymycar milano srl,headquarter,20142,italy,
lootsa tn 2b,tallinn,estonia,qarson holding ou,headquarter,11415,estonia,
2711 centerville rd ste 400,wilmington,united states,"csc domains, llc",headquarter,198081645,delaware(de),
tritton road,lincoln,united kingdom,fenner group holdings limited,headquarter,              ln6 7af,united kingdom,
via cinisi 3,carini,italy,sicily by car spa,headquarter,90044,italy,
malmi tn 8,"johvi, johvi vald",estonia,enefit solutions as,headquarter,41537,estonia,
5901 university dr madison square mall,huntsville,united states,"madison square associates, ltd.",single address,358062531,alabama(al),
2nd floor 3 pancras square kings cross,london,united kingdom,modern biosciences limited,headquarter,              n1c 4ag,united kingdom,
via degli artigiani 12,cuneo,italy,swisslog healthcare italy srl,headquarter,12100,italy,
raekoja plats 16,"tartu, tartu",estonia,dealum ou,single address,51004,estonia,
5429 lyndon b johnson fwy ste 600,dallas,united states,"rexel usa, inc.",headquarter,752402611,texas(tx),
2nd floor 3 pancras square kings cross,london,united kingdom,ip2ipo limited,headquarter,              n1c 4ag,united kingdom,
via degli artigiani 12,cuneo,italy,swisslog healthcare ag,headquarter,12100,italy,
sopruse pst 145,tallinn,estonia,elisa eesti as,single address,13425,estonia,
399 park ave fl 30,new york,united states,"jordan company, l.p., the",headquarter,100224871,new york(ny),
"2nd floor, 3 pancras square kings cross",london,united kingdom,ip group plc,headquarter,              n1c 4ag,united kingdom,
via lavoratori autobianchi 1,desio (palazzina 9 ),italy,decathlon italia srl,,20832,italy,DECATHLON
jalgpalli tn 1,tallinn,estonia,markit eesti as,headquarter,11312,estonia,
9601 wilshire blvd fl 3,beverly hills,united states,"endeavor group holdings, inc.",headquarter,902105219,california(ca),
2nd floor 3 pancras square kings cross,london,united kingdom,ip2ipo innovations limited,headquarter,              n1c 4ag,united kingdom,
via torino pianezza 36,collegno,italy,prima industrie spa,,10093,italy,PRIMA ADDITIVE
peterburi tee 81,tallinn,estonia,all media eesti as,headquarter,13816,estonia,
21511 23rd dr se,bothell,united states,"agc biologics, inc.",headquarter,980213900,washington(wa),
17-29 horny crescent,london,united kingdom,nickelodeon international limited,single address,              nw1 8tt,united kingdom,
via sardegna 38,roma,italy,bredamenarinibus spa,single address,187,italy,
soola tn 8,"tartu, tartu",estonia,tarco vein as,single address,51004,estonia,
1500 market st,denver,united states,"homebot, inc.",single address,802021608,colorado(co),
london road,bracknell,united kingdom,afton chemical limited,headquarter,              rg12 2uw,united kingdom,
via dei sette santi 3,firenze,italy,a. menarini industrie farmaceutiche riunite srl,headquarter,50131,italy,
tartu mnt 80d,tallinn,estonia,apollo group ou,headquarter,10112,estonia,
250 west pratt street,baltimore,united states,pandora jewelry llc,headquarter,212012423,maryland(md),
1 churchill place,london,united kingdom,barclays plc,,              e14 5hp,united kingdom,BARCLAYS BANK
via pietro giannone 9,milano,italy,sharingbox italia srl,headquarter,20154,italy,
roosikrantsi tn 2-krm1,tallinn,estonia,krm holding plus ou,headquarter,10119,estonia,
30 hudson yards ste 7500,new york,united states,kkr real estate finance trust inc.,headquarter,100012170,new york(ny),
5 north colonnade,london,united kingdom,barclays capital securities limited,,              e14 4bb,united kingdom,Barclays Bank
via melchiorre gioia 8,milano,italy,roland berger srl,headquarter,20124,italy,
moisa tn 4-2,tallinn,estonia,ixellion as,headquarter,13522,estonia,
1605 alton rd,birmingham,united states,"motion industries, inc.",headquarter,352103770,alabama(al),
one churchill place,london,united kingdom,barclays bank plc,headquarter,              e14 5hp,united kingdom,
corso gelone 59,siracusa,italy,bruno maria zimmitti 1858 srl,headquarter,96100,italy,
naituse tn 25,"tartu, tartu linn",estonia,palmako as,headquarter,50409,estonia,
1551 n tustin ave fl 6 ste 650,santa ana,united states,"universal services of america, lp",headquarter,927058634,california(ca),
28 level 1 churchill place,london,united kingdom,barclays execution services limited,,              e14 5hp,united kingdom,BARCLAYS
via dell'artigianato 14,marcon,italy,autel europe gmbh,headquarter,30020,italy,
parnu mnt 18,tallinn,estonia,omd estonia ou,single address,10141,estonia,
1551 n tustin ave ste 650,santa ana,united states,"universal protection service, lp",headquarter,927058664,california(ca),ALLIED UNIVERSAL
6 level 2 more london riverside,london,united kingdom,london & partners limited,headquarter,              se1 2rr,united kingdom,
via roma 152-154,volta mantovana,italy,avm 1959 spa,headquarter,46049,italy,
estonia pst 1,tallinn,estonia,drinkify ou,single address,10143,estonia,
1551 tustin ave ste 650,santa ana,united states,allied universal holdco llc,headquarter,927058664,california(ca),
8 canada square,london,united kingdom,hsbc holdings plc,,              e14 5hq,united kingdom,HSBC
via bisceglie 76,milano (c/o regus ),italy,weglobal srl,single address,20152,italy,
hobujaama tn 4,tallinn,estonia,kokkuhoideur ou,headquarter, ,estonia,
935 mearns rd,warminster,united states,"s p industries, inc.",headquarter,189742811,pennsylvania(pa),
487/488 ipswich road,slough,united kingdom,gcp (uk) holdings limited,headquarter,              sl1 4ep,united kingdom,
piazza delle muse 7,roma,italy,aec underwriting agenzia di assicurazione e riassicurazione spa,headquarter,197,italy,
lootsa tn 2b,tallinn,estonia,edp auto ou,headquarter,11415,estonia,
4820 emperor blvd,durham,united states,iqvia holdings inc.,headquarter,277038426,north carolina(nc),
"suite 1, oxford house oxford road",thame,united kingdom,direct recall limited,single address,              ox9 2ah,united kingdom,
via emilia 1,san donato milanese,italy,floaters spa,headquarter,20097,italy,
viru valjak 2,tallinn,estonia,east capital real estate as,headquarter,10111,estonia,
4709 creekstone dr,morrisville,united states,innovex merger corp.,headquarter,27560,north carolina(nc),
"unit 65 surrey technology centre occam road, surrey research park",guildford,united kingdom,virtual recall limited,single address,              gu2 7yg,united kingdom,
viale luca gaurico 187,roma,italy,ald automotive italia srl,headquarter,143,italy,
12 ahtri street,tallinn,estonia,emor as,headquarter,10151,estonia,
370 wabasha st n rank_1700,saint paul,united states,"eec acquisition, llc",headquarter,551021334,minnesota(mn),SMART CARE
network house globe business park third avenue,marlow,united kingdom,expansys limited,headquarter,              sl7 1ey,united kingdom,
via gabriele d'annunzio 4,vizzola ticino,italy,vodafone automotive italia spa,headquarter,21010,italy,
laike tee 12,"peetri alevik, rae vald",estonia,vbh estonia ou,single address,75301,estonia,
1100 plz five 12th fl,jersey city,united states,icap services north america llc,headquarter,73114003,new jersey(nj),
"network house third avenue, globe park",marlow,united kingdom,expansys southern europe limited,single address,              sl7 1ey,united kingdom,
viale san bartolomeo 340,la spezia,italy,terminal del golfo spa,headquarter,19126,italy,
jarvekula tee 14,kohtla-jarve,estonia,vkg oil as,headquarter,30328,estonia,
1501 nw 49th st ste 100,fort lauderdale,united states,"sixt rent a car, llc",headquarter,333093723,florida(fl),
brampton road harold hill,romford,united kingdom,ethypharm uk limited,single address,              rm3 8ug,united kingdom,
via ansperto 10,milano,italy,niococktails srl,headquarter,20123,italy,
kordoni tn 1,"aseri alevik, viru-nigula vald",estonia,wienerberger as,single address,43401,estonia,
1211 avenue of the americas,new york,united states,"dow jones & company, inc.",headquarter,100360003,new york(ny),BARRON'S
spaces - 1650 arlington business park theale,reading,united kingdom,pure world energy limited,single address,              rg7 4sa,united kingdom,
via della repubblica 7,campogalliano,italy,ama composites srl,headquarter,41011,italy,
vaike-ameerika tn 8-405,tallinn,estonia,healthcare investment and consulting international hici ou,headquarter,10129,estonia,
445 se main st,roseburg,united states,umpqua bank,headquarter,974704900,oregon(or),
"unit 2300 compton house, the crescent, birmingham business park",birmingham,united kingdom,uniper uk limited,headquarter,              b37 7ye,united kingdom,
via del lampo snc,ascoli piceno (zona industriale campolungo ),italy,hp composites spa,headquarter,63100,italy,
jaama tn 21,"kunda, viru-nigula vald",estonia,estonian cell as,single address,44106,estonia,
1551 n tustin ave,santa ana,united states,allied universal topco llc,headquarter,927058634,california(ca),
"2nd floor, gloucester chambers jubilee square",woking,united kingdom,thameswey sustainable communities limited,headquarter,              gu21 6ga,united kingdom,
via mengolina 22,faenza,italy,bucci composites spa,headquarter,48018,italy,
kuusiku tee 28,"loo alevik, joelahtme vald",estonia,lindstrom ou,headquarter,74201,estonia,
233 s wacker dr,chicago,united states,"united airlines holdings, inc.",headquarter,606066462,illinois(il),
procter & gamble uk the heights brooklands,weybridge,united kingdom,seven seas limited,single address,              kt13 0xp,united kingdom,
via alessandro manzoni 38,milano,italy,via lodovico srl,single address,20121,italy,
liimi tn 1,tallinn,estonia,nt bunkering as,headquarter,10621,estonia,
55 water st fl 37,new york,united states,s&p global inc.,headquarter,100413205,new york(ny),
4 pancras square,london,united kingdom,bravado international group limited,,              n1c 4ag,united kingdom,BRAVADO
strada provinciale 236 di cassano,bitritto (contrada la marchesa ),italy,enterprise services italia srl,headquarter,70020,italy,
gonsiori tn 2,tallinn,estonia,tallinna kaubamaja kinnisvara as,headquarter,10143,estonia,
55 water st 40 fl,new york,united states,s&p global market intelligence inc.,headquarter,100410004,new york(ny),
82 st. john street,london,united kingdom,watchtower security solutions united kingdom limited,single address,              ec1m 4jn,united kingdom,
passaggio duomo 15,bolzano,italy,euregio plus societa\' di gestione del risparmio spa,headquarter,39100,italy,
suur-patarei tn 13,tallinn,estonia,reddigital ou,single address,10415,estonia,
655 third ave 16th flr,new york,united states,nippon life insurance company of america,headquarter,100179113,new york(ny),
40 bank street,london,united kingdom,absa securities united kingdom limited,single address,              e14 5nr,united kingdom,
piazza castello 9,milano,italy,apeiron societa' benefit spa,headquarter,20121,italy,
tartu mnt 14,tallinn,estonia,cortina invest ou,headquarter,10117,estonia,
301 merritt 7 fl 4,norwalk,united states,"ipsos-asi, llc",single address,68511070,connecticut(ct),
3 pancras square,london,united kingdom,havas entertainment limited,single address,              n1c 4ag,united kingdom,
via tetti dell'oleo 17/25,borgaro torinese,italy,cogeninfra spa,headquarter,10071,italy,
viru valjak 2,tallinn,estonia,agritera ou,single address,10111,estonia,
301 merrit 7 4th fl,norwalk,united states,"ipsos-insight, llc",headquarter,68511070,connecticut(ct),
"third floor, st george's court upper church street, douglas",isle of man,united kingdom,absa manx holdings limited,headquarter,              im1 1ee,united kingdom,
via renato fucini 4,milano,italy,alerion clean power spa,headquarter,20133,italy,
tartu mnt 80,tallinn,estonia,mm grupp ou,headquarter,10112,estonia,
1305 w 18th st,sioux falls,united states,sanford health,headquarter,571050401,south dakota(sd),
