ceo,country,market_value_jan_2020,market_value_jan_2021,market_value_jan_2022,name,employees_2022,revenue_2022,sector
NULL,sweden,2.981 Billion USD,3.447 Billion USD,3.297 Billion USD,wihlborgs fastigheter ab (publ),236,324 Million USD,real estate
NULL,uk,3.440 Billion USD,2.753 Billion USD,3.283 Billion USD,redrow,"2,368","2,284 Million USD",real estate
NULL,finland,2.484 Billion USD,2.773 Billion USD,3.269 Billion USD,konecranes,NULL,"3,513 Million USD",industries
NULL,switzerland,3.788 Billion USD,3.542 Billion USD,3.263 Billion USD,sulzer ltd,"15,054","3,376 Million USD",industries
NULL,germany,2.400 Billion USD,2.814 Billion USD,3.263 Billion USD,durr,NULL,NULL,industries
NULL,sweden,1.692 Billion USD,2.633 Billion USD,3.254 Billion USD,bure equity ab (publ),350,NULL,financial services
NULL,france,6.198 Billion USD,4.950 Billion USD,3.253 Billion USD,rubis,NULL,"4,588 Million USD",utilities
NULL,france,2.299 Billion USD,2.612 Billion USD,3.250 Billion USD,fromageries bel sa,NULL,"4,078 Million USD",consumer defensive
NULL,switzerland,2.719 Billion USD,2.721 Billion USD,3.242 Billion USD,forbo holding ag,"5,317","1,342 Million USD",industries
NULL,uk,NULL,2.892 Billion USD,3.236 Billion USD,ninety one,NULL,795 Million USD,asset management
NULL,uk,1.562 Billion USD,2.036 Billion USD,3.236 Billion USD,drax group,"3,015","6,865 Million USD",utilities
NULL,switzerland,NULL,NULL,3.235 Billion USD,softwareone holding ag,NULL,"1,031 Million USD",technology
NULL,uk,3.769 Billion USD,2.989 Billion USD,3.229 Billion USD,shaftesbury,NULL,149 Million USD,real estate
NULL,germany,3.731 Billion USD,2.902 Billion USD,3.193 Billion USD,sudzucker ag,"20,129","7,596 Million USD",consumer defensive
NULL,romania,3.340 Billion USD,2.695 Billion USD,3.167 Billion USD,sngn romgaz sa,NULL,"1,306 Million USD",energy
NULL,sweden,4.102 Billion USD,3.170 Billion USD,3.164 Billion USD,intrum ab (publ),NULL,"1,886 Million USD",financial services
NULL,uk,NULL,2.125 Billion USD,3.158 Billion USD,harbourvest global private equity limited,NULL,"1,056 Million USD",asset management
NULL,isle of man,1.681 Billion USD,1.806 Billion USD,3.142 Billion USD,playtech,NULL,"1,205 Million USD",consumer cyclical
NULL,austria,2.734 Billion USD,2.404 Billion USD,3.140 Billion USD,immofinanz ag,325,375 Million USD,real estate
NULL,uk,2.174 Billion USD,2.848 Billion USD,3.132 Billion USD,rws holdings,NULL,921 Million USD,industries
NULL,greece,3.148 Billion USD,2.493 Billion USD,3.128 Billion USD,national bank of greece,"9,107","2,027 Million USD",financial services
NULL,uk,2.474 Billion USD,2.613 Billion USD,3.119 Billion USD,grainger,"23,100","13,022 Million USD",real estate
NULL,sweden,NULL,NULL,3.108 Billion USD,vimian group ab (publ),NULL,173 Million USD,consumer cyclical
NULL,france,4.908 Billion USD,2.664 Billion USD,3.096 Billion USD,air france-klm sa,"82,132","15,789 Million USD",industries
NULL,uk,2.658 Billion USD,3.356 Billion USD,3.094 Billion USD,countryside properties,NULL,"1,819 Million USD",consumer cyclical
NULL,sweden,2.155 Billion USD,2.448 Billion USD,3.089 Billion USD,jm ab (publ),NULL,"1,659 Million USD",consumer cyclical
NULL,uk,1.884 Billion USD,2.846 Billion USD,3.089 Billion USD,pets at home group,NULL,"1,551 Million USD",consumer cyclical
NULL,uk,9.680 Billion USD,4.274 Billion USD,3.087 Billion USD,technipfmc,"37,966","6,403 Million USD",energy
NULL,sweden,0.551 Billion USD,1.649 Billion USD,3.077 Billion USD,mips ab (publ),NULL,64 Million USD,consumer cyclical
NULL,uk,0.486 Billion USD,3.668 Billion USD,3.077 Billion USD,itm power,190,5 Million USD,technology
NULL,sweden,1.461 Billion USD,2.209 Billion USD,3.076 Billion USD,arjo ab (publ),NULL,961 Million USD,healthcare
NULL,uk,1.985 Billion USD,2.014 Billion USD,3.070 Billion USD,ultra electronics holdings,"4,500","1,001 Million USD",industries
NULL,uk,NULL,NULL,3.069 Billion USD,the schiehallion fund limited,NULL,37 Million USD,financial services
NULL,italy,2.668 Billion USD,2.555 Billion USD,3.061 Billion USD,bper banca,"13,550",NULL,financial services
NULL,russia,2.321 Billion USD,3.618 Billion USD,3.061 Billion USD,sistema public joint stock financial corporation,NULL,"13,186 Million USD",conglomerate
NULL,sweden,1.542 Billion USD,1.829 Billion USD,3.059 Billion USD,nyfosa ab (publ),67,261 Million USD,real estate
NULL,russia,2.547 Billion USD,2.498 Billion USD,3.059 Billion USD,credit bank of moscow (public joint-stock company),"9,000",NULL,financial services
NULL,uk,NULL,3.157 Billion USD,3.051 Billion USD,worldwide healthcare trust,333,-155 Million USD,investments
NULL,russia,4.402 Billion USD,4.751 Billion USD,3.047 Billion USD,rosseti,NULL,"16,458 Million USD",utilities
NULL,greece,3.355 Billion USD,1.812 Billion USD,3.045 Billion USD,alpha bank,"10,528",-257 Million USD,financial services
NULL,switzerland,0.744 Billion USD,1.428 Billion USD,3.039 Billion USD,swissquote group holding ltd,NULL,568 Million USD,financial services
NULL,sweden,1.680 Billion USD,2.691 Billion USD,3.030 Billion USD,nolato ab (publ),NULL,"1,231 Million USD",industries
NULL,luxembourg,1.459 Billion USD,2.129 Billion USD,3.027 Billion USD,befesa,"1,137",821 Million USD,industries
NULL,switzerland,1.671 Billion USD,2.204 Billion USD,3.015 Billion USD,lem holding sa,NULL,321 Million USD,technology
NULL,france,1.956 Billion USD,2.271 Billion USD,3.013 Billion USD,argan sa,NULL,173 Million USD,real estate
NULL,denmark,2.855 Billion USD,2.585 Billion USD,3.009 Billion USD,dfds a/s,"8,213","2,645 Million USD",industries
NULL,finland,NULL,NULL,3.004 Billion USD,outokumpu oyj,"9,915","8,503 Million USD",basic materials
NULL,sweden,2.643 Billion USD,3.400 Billion USD,2.997 Billion USD,af poyry ab (publ),"17,000","2,131 Million USD",industries
NULL,netherlands,4.564 Billion USD,2.641 Billion USD,2.991 Billion USD,veon,"46,492","7,786 Million USD",communication services
NULL,austria,2.614 Billion USD,2.361 Billion USD,2.989 Billion USD,osterreichische post ag,NULL,"2,778 Million USD",industries
NULL,uk,1.430 Billion USD,NULL,2.985 Billion USD,valaris,"4,500","1,451 Million USD",energy
NULL,russia,5.159 Billion USD,3.671 Billion USD,2.985 Billion USD,public joint stock oil company bashneft,NULL,"13,435 Million USD",energy
NULL,uk,3.615 Billion USD,6.529 Billion USD,2.984 Billion USD,asos,"3,824","5,189 Million USD",consumer cyclical
NULL,france,3.863 Billion USD,2.881 Billion USD,2.979 Billion USD,covivio hotels societe anonyme,NULL,"1,107 Million USD",real estate
NULL,spain,2.812 Billion USD,2.758 Billion USD,2.978 Billion USD,gestamp automocion,NULL,"8,925 Million USD",consumer cyclical
NULL,italy,0.860 Billion USD,1.939 Billion USD,2.970 Billion USD,sesa,NULL,"2,361 Million USD",technology
NULL,uk,NULL,2.181 Billion USD,2.963 Billion USD,caledonia investments,NULL,728 Million USD,investments
NULL,switzerland,NULL,NULL,2.958 Billion USD,bystronic ag,NULL,NULL,industries
NULL,uk,3.189 Billion USD,2.848 Billion USD,2.954 Billion USD,close brothers group,"3,000","1,204 Million USD",financial services
NULL,spain,2.465 Billion USD,3.277 Billion USD,2.953 Billion USD,viscofan,"4,609","1,069 Million USD",consumer cyclical
NULL,spain,3.353 Billion USD,3.548 Billion USD,2.944 Billion USD,ebro foods,NULL,"2,677 Million USD",consumer defensive
NULL,sweden,6.650 Billion USD,3.333 Billion USD,2.943 Billion USD,hufvudstaden ab (publ),NULL,280 Million USD,real estate
NULL,france,5.055 Billion USD,3.305 Billion USD,2.928 Billion USD,casino guichard-perrachon societe anonyme,NULL,"34,251 Million USD",consumer defensive
NULL,romania,NULL,NULL,2.921 Billion USD,fondul proprietatea sa,NULL,"1,143 Million USD",financial services
NULL,switzerland,1.491 Billion USD,1.961 Billion USD,2.918 Billion USD,medacta group sa,NULL,400 Million USD,healthcare
NULL,sweden,4.409 Billion USD,3.229 Billion USD,2.912 Billion USD,pandox ab (publ),NULL,347 Million USD,consumer cyclical
NULL,spain,2.826 Billion USD,3.275 Billion USD,2.905 Billion USD,vidrala,"3,500","1,196 Million USD",consumer cyclical
NULL,sweden,0.830 Billion USD,1.392 Billion USD,2.898 Billion USD,troax group ab (publ),NULL,278 Million USD,industries
NULL,france,0.787 Billion USD,0.143 Billion USD,2.890 Billion USD,europcar mobility group,"8,999",0 Million USD,industries
NULL,austria,3.137 Billion USD,2.393 Billion USD,2.888 Billion USD,uniqa insurance group ag,NULL,NULL,financial services
NULL,france,2.153 Billion USD,2.412 Billion USD,2.884 Billion USD,ramsay generale de sante sa,NULL,"4,021 Million USD",healthcare
NULL,italy,1.589 Billion USD,2.333 Billion USD,2.883 Billion USD,carel industries,NULL,333 Million USD,technology
NULL,switzerland,2.776 Billion USD,2.780 Billion USD,2.878 Billion USD,st. galler kantonalbank ag,NULL,514 Million USD,financial services
NULL,uk,NULL,2.679 Billion USD,2.872 Billion USD,mercantile investment trust (the),NULL,314 Million USD,asset management
NULL,netherlands,3.838 Billion USD,3.725 Billion USD,2.871 Billion USD,sbm offshore,"4,507","3,672 Million USD",energy
NULL,denmark,1.402 Billion USD,1.857 Billion USD,2.871 Billion USD,alm. brand a/s,"1,725",781 Million USD,financial services
NULL,spain,1.800 Billion USD,1.376 Billion USD,2.871 Billion USD,unicaja banco,NULL,NULL,financial services
NULL,uk,2.859 Billion USD,2.780 Billion USD,2.870 Billion USD,victrex,900,413 Million USD,basic materials
NULL,ireland,1.290 Billion USD,2.907 Billion USD,2.867 Billion USD,keywords studios,NULL,512 Million USD,communication services
NULL,uk,1.234 Billion USD,2.043 Billion USD,2.861 Billion USD,kainos group,NULL,356 Million USD,technology
NULL,germany,2.613 Billion USD,3.020 Billion USD,2.853 Billion USD,software ag,NULL,919 Million USD,technology
NULL,italy,1.575 Billion USD,2.321 Billion USD,2.851 Billion USD,falck renewables,NULL,627 Million USD,utilities
NULL,luxembourg,5.101 Billion USD,3.925 Billion USD,2.847 Billion USD,millicom international cellular,"22,000","4,617 Million USD",communication services
NULL,germany,2.449 Billion USD,3.355 Billion USD,2.845 Billion USD,gerresheimer ag,"9,872","1,652 Million USD",healthcare
NULL,uk,4.824 Billion USD,4.202 Billion USD,2.844 Billion USD,ashmore group,NULL,299 Million USD,financial services
NULL,uk,NULL,NULL,2.837 Billion USD,paysafe limited,NULL,"1,487 Million USD",technology
NULL,uk,NULL,NULL,2.828 Billion USD,templeton emerging markets investment trust plc,NULL,"1,257 Million USD",financial services
NULL,sweden,2.081 Billion USD,2.693 Billion USD,2.825 Billion USD,bravida holding ab (publ),NULL,"2,319 Million USD",industries
NULL,uk,NULL,2.702 Billion USD,2.823 Billion USD,wh smith,"14,321","1,176 Million USD",retail
NULL,poland,2.467 Billion USD,2.333 Billion USD,2.818 Billion USD,orange polska,NULL,"2,813 Million USD",communication services
NULL,germany,2.097 Billion USD,2.038 Billion USD,2.818 Billion USD,mvv energie ag,NULL,"4,669 Million USD",utilities
NULL,germany,NULL,NULL,2.816 Billion USD,nagarro se,NULL,546 Million USD,technology
NULL,belgium,2.896 Billion USD,2.929 Billion USD,2.805 Billion USD,solvac,NULL,329 Million USD,basic materials
NULL,germany,2.118 Billion USD,2.612 Billion USD,2.804 Billion USD,kws saat se & co. kgaa,"5,709","1,310 Million USD",consumer defensive
NULL,iceland,3.399 Billion USD,3.356 Billion USD,2.801 Billion USD,ossur,"4,000",718 Million USD,healthcare
NULL,france,3.784 Billion USD,2.595 Billion USD,2.792 Billion USD,eutelsat communications,NULL,"1,233 Million USD",technology
NULL,uk,3.904 Billion USD,2.439 Billion USD,2.789 Billion USD,ssp group,"39,549","1,107 Million USD",consumer cyclical
NULL,russia,4.048 Billion USD,3.817 Billion USD,2.780 Billion USD,federal grid company of unified energy system,NULL,"3,900 Million USD",utilities
NULL,germany,NULL,NULL,2.776 Billion USD,h&k ag,NULL,NULL,industries
NULL,netherlands,1.863 Billion USD,3.329 Billion USD,2.773 Billion USD,corbion,"2,267","1,180 Million USD",basic materials
NULL,portugal,3.556 Billion USD,2.267 Billion USD,2.773 Billion USD,banco comercial portugues,NULL,NULL,financial services
NULL,uk,NULL,2.799 Billion USD,2.770 Billion USD,assura,NULL,160 Million USD,real estate
NULL,uk,2.233 Billion USD,2.010 Billion USD,2.768 Billion USD,pagegroup,NULL,"1,935 Million USD",industries
NULL,luxembourg,3.439 Billion USD,2.543 Billion USD,2.767 Billion USD,samsonite international,"14,500","2,020 Million USD",consumer cyclical
NULL,uk,NULL,2.666 Billion USD,2.759 Billion USD,finsbury growth & income trust,NULL,279 Million USD,asset management
NULL,portugal,NULL,NULL,2.759 Billion USD,"the navigator company, s.a.",NULL,"1,595 Million USD",paper and pulp
NULL,belgium,1.729 Billion USD,1.900 Billion USD,2.753 Billion USD,nv bekaert sa,NULL,"5,337 Million USD",industries
NULL,russia,2.795 Billion USD,2.245 Billion USD,2.748 Billion USD,nizhnekamskneftekhim,NULL,"2,527 Million USD",basic materials
NULL,netherlands,1.817 Billion USD,1.262 Billion USD,2.738 Billion USD,cnova,NULL,"2,389 Million USD",consumer cyclical
NULL,sweden,3.292 Billion USD,2.711 Billion USD,2.737 Billion USD,atrium ljungberg ab (publ),NULL,328 Million USD,real estate
NULL,uk,2.325 Billion USD,2.530 Billion USD,2.733 Billion USD,cranswick,"6,988","2,365 Million USD",consumer defensive
NULL,norway,0.645 Billion USD,1.170 Billion USD,2.731 Billion USD,arendals fossekompani asa,NULL,476 Million USD,utilities
NULL,malta,14.605 Billion USD,22.595 Billion USD,2.729 Billion USD,kindred group,"1,564","1,671 Million USD",consumer cyclical
NULL,sweden,0.898 Billion USD,1.468 Billion USD,2.727 Billion USD,hms networks ab (publ),NULL,209 Million USD,technology
NULL,uk,NULL,2.757 Billion USD,2.721 Billion USD,primary health properties,NULL,192 Million USD,real estate
NULL,sweden,1.107 Billion USD,1.868 Billion USD,2.714 Billion USD,lagercrantz group ab (publ),NULL,517 Million USD,technology
NULL,uk,NULL,1.735 Billion USD,2.710 Billion USD,hg capital trust,NULL,803 Million USD,asset management
NULL,france,2.514 Billion USD,2.684 Billion USD,2.703 Billion USD,robertet sa,NULL,606 Million USD,basic materials
NULL,germany,1.029 Billion USD,1.953 Billion USD,2.702 Billion USD,secunet security networks,NULL,337 Million USD,technology
NULL,malta,NULL,NULL,2.689 Billion USD,unibet group plc,NULL,NULL,consumer cyclical
NULL,switzerland,2.957 Billion USD,2.338 Billion USD,2.673 Billion USD,dormakaba holding ag,NULL,"2,861 Million USD",industries
NULL,norway,1.161 Billion USD,1.127 Billion USD,2.671 Billion USD,wallenius wilhelmsen asa,NULL,"3,884 Million USD",industries
NULL,uk,2.181 Billion USD,1.868 Billion USD,2.668 Billion USD,savills,NULL,0 Million USD,real estate
NULL,france,NULL,NULL,2.667 Billion USD,technip energies n.v.,NULL,"7,096 Million USD",energy
NULL,spain,3.015 Billion USD,2.548 Billion USD,2.653 Billion USD,compania de distribucion integral logista holdings,NULL,"11,930 Million USD",industries
NULL,france,1.847 Billion USD,1.958 Billion USD,2.648 Billion USD,constellium se,NULL,"6,150 Million USD",basic materials
NULL,switzerland,0.980 Billion USD,1.723 Billion USD,2.647 Billion USD,comet holding ag,NULL,549 Million USD,technology
NULL,denmark,0.867 Billion USD,1.785 Billion USD,2.638 Billion USD,bavarian nordic a/s,NULL,255 Million USD,healthcare
NULL,germany,NULL,NULL,2.631 Billion USD,encavis ag,NULL,332 Million USD,utilities
NULL,uk,1.945 Billion USD,2.027 Billion USD,2.620 Billion USD,domino's pizza group,NULL,743 Million USD,consumer cyclical
NULL,germany,7.101 Billion USD,10.737 Billion USD,2.617 Billion USD,teamviewer ag,"1,200",553 Million USD,technology
NULL,germany,1.464 Billion USD,2.013 Billion USD,2.610 Billion USD,gag immobilien ag,NULL,390 Million USD,real estate
NULL,france,2.794 Billion USD,2.387 Billion USD,2.600 Billion USD,nexity sa,NULL,"4,467 Million USD",real estate
NULL,sweden,1.851 Billion USD,2.225 Billion USD,2.598 Billion USD,fastpartner ab (publ),NULL,175 Million USD,real estate
