,name,rank,marketcap,country,share_price,change1d,change1y,categories
297,Independent Bank Group,3473,$2.51 B,usa,$61.00,-1.07%,-22.59%,banks financial-services 
298,"Banco Macro
",3466,$2.52 B,None,$22.72,2.50%,54.80%,None
299,Outokumpu,3462,$2.52 B,finland,$5.73,1.58%,-22.04%,None
300,Apollo Tyres,3464,$2.52 B,india,$3.98,1.27%,21.71%,tires 
301,Duck Creek Technologies,3460,$2.53 B,usa,$19.06,0.03%,-30.35%,software tech 
302,INFICON,3459,$2.53 B,switzerland,"$1,036",1.80%,-22.69%,scientific-and-technical-instruments 
303,"Baytex Energy
",3452,$2.54 B,canada,$4.65,3.23%,25.00%,oil-gas energy 
304,Relay Therapeutics,3454,$2.53 B,usa,$21.00,2.71%,-20.10%,pharmaceuticals biotech 
305,Red Rock Resorts,3447,$2.55 B,usa,$44.01,0.87%,-9.16%,None
306,"Uniqa Insurance Group
",3456,$2.53 B,None,$8.26,0.00%,-12.59%,insurance 
307,"St. Joe Company
",3446,$2.55 B,usa,$43.76,1.98%,-13.04%,real-estate 
308,Swissquote,3457,$2.53 B,switzerland,$169.22,0.13%,-7.89%,None
309,Dana,3448,$2.55 B,usa,$17.80,1.37%,-29.78%,None
310,"VIAVI Solutions
",3443,$2.55 B,usa,$11.30,0.98%,-33.29%,None
311,"Keppel REIT
",3451,$2.54 B,singapore,$0.68,0.00%,-20.00%,reit real-estate investment 
312,Cembra Money Bank,3458,$2.53 B,switzerland,$84.50,-0.25%,18.07%,banks financial-services 
313,"Tohoku Electric Power
",3444,$2.55 B,japan,$5.12,0.92%,-28.49%,electricity utility-companies energy 
314,Vivint Smart Home,3449,$2.55 B,usa,$11.96,0.04%,52.29%,tech smart-home 
315,"LGI Homes
",3455,$2.53 B,usa,$108.93,1.62%,-21.64%,construction 
316,Millicom,3445,$2.55 B,None,$14.96,0.34%,-47.51%,media-press telecommunication 
317,Commvault,3450,$2.54 B,usa,$57.26,1.11%,-17.82%,None
318,Compañía Cervecerías Unidas,3453,$2.54 B,chile,$13.74,0.07%,-19.79%,beverages alcoholic-beverages 
319,"Dream Industrial REIT
",3434,$2.56 B,canada,$10.02,-0.45%,-23.57%,real-estate investment reit 
320,Kadokawa,3439,$2.56 B,japan,$18.39,2.50%,-18.52%,media-press video-games entertainment 
321,"New India Assurance
",3436,$2.56 B,india,$1.56,0.92%,-17.46%,insurance 
322,Boral,3431,$2.57 B,australia,$2.33,-1.76%,-44.12%,building-materials cement 
323,Fletcher Building,3429,$2.57 B,new-zealand,$3.26,0.67%,-33.20%,construction 
324,Kingnet Network,3437,$2.56 B,china,$1.19,4.72%,27.96%,video-games entertainment 
325,Balfour Beatty,3441,$2.55 B,united-kingdom,$4.37,1.30%,17.47%,infrastructure construction 
326,"Zain Saudi Arabia
",3438,$2.56 B,saudi-arabia,$2.85,-0.19%,-15.18%,telecommunication 
327,WH Smith,3442,$2.55 B,united-kingdom,$19.41,-1.73%,-10.30%,retail 
328,Tronox,3440,$2.56 B,usa,$16.58,2.54%,-34.26%,chemicals 
329,Dixon Technologies,3430,$2.57 B,india,$43.28,-1.33%,-40.25%,electronics 
330,Brady,3435,$2.56 B,usa,$51.59,0.39%,-4.14%,manufacturing 
331,Otter Tail,3433,$2.56 B,usa,$61.66,-0.53%,-4.08%,utility-companies electricity energy 
332,"Tianjin FAW
",3427,$2.58 B,china,$0.43,-0.35%,-21.82%,automotive-suppliers 
333,Sunnova,3428,$2.58 B,usa,$22.47,3.26%,-4.75%,renewable-energy energy electricity 
334,Callon Petroleum,3432,$2.56 B,usa,$41.69,2.96%,-26.86%,oil-gas energy 
335,Aarti Industries,3423,$2.58 B,india,$7.12,0.88%,-52.15%,chemicals 
336,"Myovant Sciences
",3416,$2.60 B,united-kingdom,$26.88,-0.02%,75.15%,None
337,Lightspeed POS,3421,$2.59 B,canada,$17.24,3.86%,-52.84%,e-commerce software tech 
338,"Kontoor Brands
",3426,$2.58 B,usa,$46.57,0.89%,-8.76%,clothing 
339,Voltalia,3411,$2.60 B,france,$19.64,0.44%,1.50%,electricity energy 
340,"Omnicell
",3417,$2.60 B,usa,$58.28,1.20%,-64.57%,software tech healthcare 
341,"Urban Outfitters
",3424,$2.58 B,usa,$28.03,1.48%,-0.43%,clothing retail 
342,Mallplaza,3413,$2.60 B,chile,$1.33,1.74%,27.88%,real-estate 
343,Mirati Therapeutics,3422,$2.59 B,usa,$45.00,2.27%,-63.80%,None
344,TransAlta,3425,$2.58 B,canada,$9.59,0.21%,-6.62%,energy electricity 
345,Kunlun Tech,3420,$2.59 B,china,$2.20,1.03%,-40.05%,video-games entertainment 
346,International Distributions Services (Royal Mail),3419,$2.59 B,united-kingdom,$2.72,-0.40%,None,delivery-services 
347,"Champion REIT
",3418,$2.60 B,hong-kong,$0.44,1.19%,-15.38%,real-estate investment reit 
348,Siltronic,3414,$2.60 B,germany,$86.72,0.50%,-40.14%,None
349,Perficient,3412,$2.60 B,usa,$75.19,0.75%,-26.80%,professional-services 
350,"MGE Energy
",3415,$2.60 B,usa,$71.97,-0.66%,-7.65%,None
351,Bayer Crop Science,3408,$2.60 B,india,$58.00,-0.96%,-16.64%,chemicals agriculture 
352,"Arch Resources
",3409,$2.60 B,usa,$144.15,2.96%,49.25%,mining coal-mining 
353,"Steve Madden
",3395,$2.62 B,usa,$33.68,0.36%,-19.69%,None
354,"Nova Measuring Instruments
",3397,$2.62 B,israel,$91.33,2.24%,-35.75%,semiconductors tech tech-hardware 
355,Xerox,3400,$2.62 B,usa,$16.84,1.63%,-29.30%,tech tech-hardware electronics 
356,"Vermilion Energy
",3410,$2.60 B,canada,$15.96,2.93%,0.79%,oil-gas energy 
357,"Resideo Technologies
",3398,$2.62 B,usa,$17.97,0.96%,-31.33%,None
358,"MDC Holdings
",3404,$2.61 B,usa,$36.68,1.26%,-33.25%,None
359,Multiplan Empreendimentos Imobiliários,3405,$2.61 B,brazil,$4.47,1.43%,35.87%,real-estate 
360,ALSO Holding,3407,$2.61 B,switzerland,$203.62,1.72%,-31.29%,None
361,"CNO Financial Group
",3394,$2.62 B,usa,$22.96,-0.26%,-12.40%,None
362,Fulton Financial,3403,$2.61 B,usa,$15.63,-5.86%,-17.22%,banks financial-services 
363,"Extreme Networks
",3406,$2.61 B,usa,$19.88,0.56%,39.12%,telecommunications-equipment 
364,Travis Perkins,3396,$2.62 B,united-kingdom,$12.34,-0.79%,-42.68%,retail building-materials 
365,Insmed,3399,$2.62 B,usa,$19.34,1.18%,-18.48%,None
366,ams AG,3402,$2.61 B,None,$10.02,1.45%,-43.58%,electronics 
367,TeamViewer,3390,$2.63 B,germany,$14.88,0.70%,3.05%,tech internet software 
368,Leslie's,3392,$2.62 B,usa,$14.32,1.06%,-35.12%,None
369,Punjab & Sind Bank,3393,$2.62 B,india,$0.39,-1.87%,69.57%,banks financial-services 
370,Spin Master,3389,$2.63 B,canada,$25.60,0.82%,-29.92%,toys entertainment video-games 
371,JOYY,3381,$2.63 B,china,$37.26,0.69%,-27.65%,None
372,"Alarm.com
",3379,$2.64 B,usa,$52.94,1.42%,-32.43%,None
373,Trigano,3383,$2.63 B,france,$138.14,1.92%,-32.97%,specialty-vehicles manufacturing 
374,Rand Merchant Investment,3391,$2.63 B,south-africa,$1.69,0.00%,-38.10%,financial-services investment 
375,"Energizer Holdings
",3380,$2.64 B,usa,$37.00,-0.03%,-9.73%,None
376,Pan Ocean,3386,$2.63 B,south-korea,$4.93,1.16%,11.54%,maritime-transportation container-shipping transportation 
377,"Sage Therapeutics
",3388,$2.63 B,usa,$44.28,0.54%,3.14%,None
378,"Itron
",3384,$2.63 B,usa,$58.37,0.95%,-7.51%,None
379,"Ebro Foods
",3378,$2.64 B,spain,$17.18,-1.00%,-11.63%,food 
380,Fortis Healthcare,3382,$2.63 B,india,$3.50,0.19%,-10.03%,healthcare 
381,Lundin Gold,3385,$2.63 B,canada,$11.19,-0.33%,45.51%,mining gold-mining 
382,Dunelm Group,3387,$2.63 B,united-kingdom,$13.09,3.48%,-29.93%,retail 
383,Elekta AB,3370,$2.66 B,sweden,$7.03,2.69%,-37.34%,medical-devices medical-equipment 
384,Grindwell Norton,3376,$2.64 B,india,$23.88,-1.19%,-7.59%,None
385,"Bachoco
",3377,$2.64 B,mexico,$52.88,0.59%,22.52%,agriculture food 
386,Excelerate Energy,3366,$2.67 B,usa,$24.69,1.27%,None,oil-gas energy 
387,"Genworth Financial
",3372,$2.65 B,usa,$5.35,0.56%,21.32%,insurance 
388,Pick n Pay Stores,3369,$2.66 B,south-africa,$3.63,2.67%,12.04%,retail supermarkets 
389,"Bank of Maharashtra
",3373,$2.65 B,india,$0.39,0.00%,39.29%,banks financial-services 
390,"Konecranes
",3363,$2.68 B,finland,$33.86,1.80%,-21.26%,machinery-manufacturing manufacturing 
391,SYNLAB,3362,$2.68 B,germany,$11.89,0.37%,-49.81%,diagnostics biotech 
392,Rocket Lab,3368,$2.66 B,usa,$5.64,2.83%,-45.92%,aerospace 
393,Atlantic Union Bankshares,3374,$2.64 B,usa,$35.46,-2.35%,-15.82%,banks financial-services 
394,Hayward,3375,$2.64 B,usa,$12.53,0.73%,-43.43%,None
395,Keywords Studios,3367,$2.67 B,ireland,$32.49,5.10%,-12.71%,video-games professional-services 
396,Gibson Energy,3364,$2.67 B,canada,$18.51,0.08%,-1.86%,oil-gas energy infrastructure 
397,Alliance Resource Partners,3365,$2.67 B,usa,$21.04,0.89%,43.39%,mining coal-mining 
398,Mr Price Group,3371,$2.65 B,south-africa,$10.28,1.74%,-17.69%,retail 
399,"Aksa Energy
",3357,$2.69 B,turkey,$2.19,-1.29%,None,electricity energy 
400,"BankUnited
",3351,$2.70 B,usa,$35.00,-0.17%,-24.52%,None
401,BGF Retail,3359,$2.68 B,south-korea,$155.59,-2.53%,22.51%,retail supermarkets 
402,"LIC Housing Finance
",3361,$2.68 B,india,$4.88,0.70%,-6.87%,financial-services 
403,"Coca-Cola İçecek
",3352,$2.69 B,turkey,$10.61,2.05%,22.38%,beverages 
404,"XL Axiata
",3358,$2.69 B,indonesia,$0.18,34.43%,-5.26%,telecommunication 
405,IVERIC bio,3355,$2.69 B,usa,$20.10,2.24%,52.85%,biotech pharmaceuticals 
406,"CRISIL
",3349,$2.70 B,india,$36.93,-0.24%,-8.50%,financial-services 
407,Dürr,3360,$2.68 B,germany,$38.64,1.25%,-20.33%,None
408,Freenet,3350,$2.70 B,germany,$24.50,-1.66%,-11.10%,telecommunication 
409,Bavarian Nordic,3354,$2.69 B,denmark,$37.09,-0.20%,7.69%,biotech pharmaceuticals 
410,Forward Air,3346,$2.70 B,usa,$101.85,1.18%,-9.60%,transportation 
411,"Spectrum Brands
",3356,$2.69 B,usa,$66.00,0.61%,-34.00%,None
412,"Worthington Industries
",3347,$2.70 B,usa,$54.48,2.23%,-6.38%,manufacturing 
413,Encore Wire,3348,$2.70 B,usa,$147.49,0.39%,14.61%,manufacturing wire-and-cable-manufacturers 
414,Alpha Metallurgical Resources,3353,$2.69 B,usa,$169.27,2.40%,139.35%,coal-mining mining energy 
415,Zee Entertainment,3340,$2.71 B,india,$2.83,0.74%,-34.94%,entertainment media-press 
416,Frontier Airlines,3339,$2.72 B,usa,$12.51,2.96%,-9.81%,airlines travel transportation 
417,Cal-Maine Foods,3332,$2.75 B,usa,$56.22,-0.24%,36.70%,food agriculture 
418,Ermenegildo Zegna,3343,$2.71 B,italy,$11.17,0.09%,11.37%,clothing luxury-goods 
419,Safestore,3345,$2.70 B,united-kingdom,$12.45,1.60%,-31.14%,real-estate investment reit 
420,Port of Tauranga,3330,$2.75 B,new-zealand,$4.05,-0.16%,-9.40%,ports infrastructure 
421,Alm. Brand,3333,$2.74 B,denmark,$1.78,1.50%,-6.32%,financial-services insurance 
422,Helen of Troy,3331,$2.75 B,usa,$114.83,-1.14%,-50.20%,consumer-goods 
423,Makkah Construction & Development,3337,$2.73 B,saudi-arabia,$16.57,0.00%,-20.41%,construction 
424,ALSOK,3338,$2.72 B,japan,$26.94,1.02%,-28.39%,None
425,"Ipca Laboratories
",3335,$2.73 B,india,$10.78,2.76%,-24.56%,pharmaceuticals 
426,"Chegg
",3336,$2.73 B,usa,$21.77,-10.92%,-24.78%,education internet tech 
427,ViaSat,3334,$2.74 B,usa,$36.25,2.17%,-20.83%,None
428,Fonterra,3344,$2.70 B,new-zealand,$1.68,-0.38%,-17.24%,food dairy 
429,Relaxo Footwear,3342,$2.71 B,india,$10.91,-0.47%,-39.12%,footwear 
430,Big Yellow Group,3341,$2.71 B,united-kingdom,$14.55,-0.08%,-32.14%,reit real-estate investment 
431,"H&R REIT
",3329,$2.75 B,canada,$9.71,0.08%,-8.65%,real-estate investment reit 
432,Innospec,3324,$2.75 B,usa,$111.42,0.49%,13.05%,None
433,SKF India,3325,$2.75 B,india,$55.81,-0.63%,4.03%,None
434,Solaria Energía,3326,$2.75 B,spain,$22.08,2.34%,23.56%,renewable-energy electricity energy 
435,"TreeHouse Foods
",3327,$2.75 B,usa,$49.19,-1.13%,12.61%,None
436,Delhivery,3328,$2.75 B,india,$3.79,-3.32%,None,delivery-services transportation 
437,"Sumitomo Dainippon Pharma
",3318,$2.77 B,japan,$6.98,2.27%,-42.22%,pharmaceuticals biotech 
438,Mercury Systems,3323,$2.76 B,usa,$47.64,0.22%,-20.57%,None
439,MicroStrategy,3320,$2.76 B,usa,$239.62,1.57%,-52.03%,software bitcoin tech 
440,Nerolac Paints,3322,$2.76 B,india,$5.12,1.36%,-37.18%,paint-and-coating 
441,Appian,3321,$2.76 B,usa,$38.09,2.56%,-31.52%,software tech 
442,"Vicor
",3319,$2.76 B,usa,$62.82,1.82%,-42.14%,electronics 
443,SimCorp,3317,$2.77 B,denmark,$70.62,0.33%,-27.99%,software tech 
444,DigitalOcean,3316,$2.77 B,usa,$28.80,3.67%,-51.59%,tech software internet 
445,"Canadian Solar
",3314,$2.78 B,canada,$41.70,0.00%,47.61%,renewable-energy energy manufacturing 
446,"Hub Group
",3315,$2.78 B,usa,$83.74,3.83%,3.87%,None
447,Northern Oil and Gas,3305,$2.79 B,usa,$32.79,1.72%,37.50%,oil-gas energy 
448,"Jetblue Airways
",3312,$2.78 B,usa,$8.61,2.01%,-42.02%,airlines travel transportation 
449,"Tandem Diabetes Care
",3301,$2.80 B,usa,$43.55,1.49%,-63.94%,None
450,"Boise Cascade
",3306,$2.79 B,usa,$70.81,1.88%,0.65%,building-materials 
451,"LCI Industries
",3302,$2.79 B,usa,$110.06,-0.57%,-23.80%,None
452,Dorman Products,3303,$2.79 B,usa,$89.05,0.47%,-15.95%,automotive-suppliers 
453,"Walker & Dunlop
",3099,$3.16 B,usa,$95.84,3.10%,-33.91%,financial-services 
454,Vitesco Technologies Group,3310,$2.79 B,germany,$69.72,-0.70%,22.81%,automotive-suppliers manufacturing 
455,"Bausch Health
",3304,$2.79 B,canada,$7.73,-0.13%,-71.45%,pharmaceuticals 
456,Mitra Keluarga,3307,$2.79 B,indonesia,$0.20,1.00%,33.33%,healthcare 
457,"Patterson Companies
",3309,$2.79 B,usa,$28.76,0.68%,-0.23%,None
458,Joby Aviation,3313,$2.78 B,usa,$4.48,0.90%,-12.50%,aircraft-manufacturers aerospace manufacturing 
459,"Pegasus Airlines
",3308,$2.79 B,turkey,$27.29,1.81%,247.20%,airlines travel transportation 
460,Ansell,3401,$2.61 B,australia,$20.53,1.59%,-17.25%,glove-ppe 
461,Evergrande,3311,$2.78 B,china,$0.21,8.55%,0.00%,real-estate 
462,"Outfront Media
",3100,$3.16 B,usa,$19.27,1.15%,-24.34%,advertising 
463,"Cogent Communications
",3095,$3.17 B,usa,$66.14,0.05%,3.36%,None
464,"Beam Therapeutics
",3091,$3.18 B,usa,$45.19,1.66%,-33.37%,crispr pharmaceuticals genomics biotech gene-therapy 
465,Jackson Financial,3098,$3.16 B,usa,$38.11,1.87%,-10.64%,financial-services asset-management insurance 
466,"Bank of Hawaii
",3097,$3.16 B,usa,$79.20,-1.27%,-13.80%,None
467,Burjeel Holdings,3089,$3.18 B,united-arab-emirates,$0.61,0.00%,None,healthcare 
468,nCino,3088,$3.18 B,usa,$28.72,1.84%,-37.73%,tech 
469,Vistry Group,3090,$3.18 B,united-kingdom,$9.21,0.94%,-39.01%,construction 
470,Proximus,3087,$3.19 B,belgium,$9.72,0.00%,-50.53%,telecommunication 
471,"Groupe Lagardère
",3093,$3.17 B,france,$22.61,0.97%,-18.26%,media-press entertainment 
472,"Meitetsu
",3083,$3.19 B,japan,$16.27,1.69%,0.25%,railways transportation 
473,Ubisoft,3094,$3.17 B,france,$21.84,0.30%,-57.55%,video-games entertainment tech 
474,Progyny,3085,$3.19 B,usa,$34.40,1.94%,-20.36%,None
475,Halkbank,3096,$3.16 B,turkey,$0.64,-2.20%,56.10%,banks financial-services 
476,Victoria's Secret & Co,3084,$3.19 B,usa,$39.55,2.83%,-29.79%,clothing retail 
477,"Scorpio Tankers
",3092,$3.17 B,None,$53.23,1.24%,309.15%,transportation maritime-transportation oil-gas 
478,HUTCHMED,3086,$3.19 B,hong-kong,$17.57,5.46%,-43.45%,pharmaceuticals biotech 
479,Methanex,3082,$3.19 B,canada,$45.67,2.38%,0.09%,None
480,"Innovative Industrial
",3070,$3.22 B,usa,$115.12,0.74%,-45.15%,None
481,Sembcorp Marine,3077,$3.20 B,singapore,$0.10,-0.74%,66.67%,None
482,PennyMac,3078,$3.20 B,usa,$63.98,-0.33%,-7.15%,None
483,Ardagh Metal Packaging,3073,$3.20 B,None,$5.32,1.33%,-39.20%,packaging 
484,Indosat,3069,$3.22 B,indonesia,$0.40,0.00%,-4.76%,telecommunication 
485,Indah Kiat Pulp & Paper,3075,$3.20 B,indonesia,$0.59,1.72%,1.72%,pulp-and-paper 
486,AMC Entertainment,3071,$3.21 B,usa,$6.26,3.05%,-69.59%,entertainment 
487,Idorsia,3068,$3.22 B,switzerland,$18.22,2.18%,-18.00%,pharmaceuticals biotech 
488,Old Mutual,3074,$3.20 B,south-africa,$0.68,-0.09%,-20.00%,financial-services insurance 
489,Coromandel,3072,$3.20 B,india,$10.91,0.14%,0.83%,fertilizer 
490,"CA Immo
",3067,$3.22 B,None,$32.20,-0.84%,-15.77%,real-estate 
491,Hillenbrand,3076,$3.20 B,usa,$46.54,1.26%,-8.06%,None
492,"Aurobindo Pharma
",3079,$3.20 B,india,$5.46,0.27%,-40.78%,None
493,"iRhythm
",3081,$3.20 B,usa,$106.30,0.27%,-24.66%,None
494,Enovis,3081,$3.20 B,usa,$59.11,2.05%,-22.14%,medical-devices 
495,Transportadora de Gas del Sur,3064,$3.23 B,None,$11.69,-0.76%,148.72%,None
496,Stagwell,3063,$3.24 B,usa,$6.82,1.94%,-4.75%,advertising 
497,ALK-Abelló,3062,$3.24 B,denmark,$14.60,-0.89%,-35.54%,pharmaceuticals biotech 
498,"Tootsie Roll Industries
",3054,$3.25 B,usa,$45.52,0.21%,30.23%,None
499,Summit Industrial Income REIT,3065,$3.23 B,canada,$17.01,0.00%,-2.69%,real-estate investment reit 
500,"Vishay Intertechnology
",3058,$3.24 B,usa,$22.92,0.26%,2.92%,semiconductors tech tech-hardware 
501,Blackbaud,3060,$3.24 B,usa,$61.11,-0.13%,-15.15%,software tech 
502,Televisa,3051,$3.26 B,mexico,$5.78,2.03%,-44.85%,media-press entertainment 
503,SPX Corporation,3066,$3.22 B,usa,$71.45,0.28%,26.55%,None
504,Prestige Consumer Healthcare,3053,$3.25 B,usa,$65.75,-0.14%,10.23%,None
505,"Terex
",3055,$3.24 B,usa,$48.14,2.43%,3.68%,manufacturing 
506,"Ameresco
",3056,$3.24 B,usa,$62.57,2.74%,9.52%,renewable-energy energy 
507,"Coway
",3061,$3.24 B,south-korea,$44.70,-0.54%,-27.29%,None
508,Deepak Nitrite,3059,$3.24 B,india,$23.79,-0.44%,-33.47%,chemicals 
509,"Voltas
",3052,$3.26 B,india,$9.87,-0.96%,-42.91%,home-and-kitchen-appliances 
510,John Bean Technologies,3057,$3.24 B,usa,$101.94,0.38%,-31.75%,None
511,Douglas Emmett,3049,$3.27 B,usa,$15.84,0.16%,-55.15%,reit real-estate investment 
512,"Highwoods Properties
",3044,$3.29 B,usa,$29.95,0.13%,-36.67%,real-estate reit investment 
513,"Cargotec
",3035,$3.31 B,finland,$51.39,2.60%,-5.18%,machinery-manufacturing 
514,Sportradar,3040,$3.30 B,switzerland,$11.12,0.32%,-28.09%,entertainment gambling 
515,ESAB,3048,$3.27 B,usa,$54.48,1.33%,None,manufacturing 
516,Capstone Infrastructure,3043,$3.29 B,canada,$10.83,0.07%,-16.18%,infrastructure energy renewable-energy electricity 
517,ACEA,3037,$3.31 B,italy,$15.57,-0.07%,-22.81%,utility-companies energy oil-gas electricity 
518,mBank,3046,$3.29 B,poland,$77.56,0.12%,-35.37%,banks financial-services 
519,Sega Sammy Holdings,3039,$3.30 B,japan,$14.97,0.62%,-5.79%,video-games entertainment tech 
520,"Radian Group
",3041,$3.30 B,usa,$21.02,6.16%,-10.89%,insurance 
521,"Sensient Technologies
",3050,$3.27 B,usa,$77.80,0.34%,-15.43%,None
522,Capstone Copper,3036,$3.31 B,canada,$4.79,4.73%,-3.23%,mining 
523,Greggs,3042,$3.29 B,united-kingdom,$32.30,2.48%,-12.28%,retail food 
524,"One Medical
(1Life Healthcare)",3038,$3.30 B,usa,$16.19,0.12%,33.14%,None
525,Atlantica,3045,$3.29 B,united-kingdom,$28.38,0.89%,-14.13%,oil-gas transportation infrastructure 
526,"Hankook Tire
",3047,$3.27 B,south-korea,$26.87,1.84%,-14.34%,tires 
527,Intellia Therapeutics,3027,$3.33 B,usa,$38.65,4.32%,-57.70%,crispr pharmaceuticals genomics biotech gene-therapy 
528,Metsä Board,3029,$3.32 B,finland,$11.13,0.00%,0.72%,pulp-and-paper 
529,"Albany International
",3024,$3.34 B,usa,$107.42,-0.20%,20.83%,None
530,Community Bank System,3034,$3.31 B,usa,$61.73,-1.83%,-20.60%,None
531,Shoals Technologies,3030,$3.32 B,usa,$28.81,2.75%,39.31%,renewable-energy energy 
532,EnerSys,3025,$3.33 B,usa,$81.78,1.38%,1.78%,None
533,ASM Pacific Technology,3033,$3.31 B,hong-kong,$8.05,-0.63%,-24.06%,tech semiconductors 
534,Skyline Champion,3023,$3.34 B,usa,$58.71,2.30%,-13.97%,construction 
535,Comgás,3032,$3.32 B,brazil,$25.61,0.00%,1.23%,utility-companies 
536,"SunPower
",3031,$3.32 B,usa,$19.08,1.79%,-5.33%,None
537,Virgin Money UK,3022,$3.34 B,united-kingdom,$2.41,-0.23%,-8.71%,banks financial-services 
538,Leroy Seafood,3019,$3.34 B,norway,$5.62,-0.36%,-30.45%,food 
539,Bellway,3020,$3.34 B,united-kingdom,$26.50,0.56%,-36.21%,construction 
540,Workman,3021,$3.34 B,japan,$40.95,-0.56%,-3.28%,retail 
541,Harbour Energy,3028,$3.33 B,united-kingdom,$3.94,-0.46%,-24.08%,oil-gas energy 
542,Goodyear,3026,$3.33 B,usa,$11.78,2.03%,-51.14%,tires 
543,Paramount Resources,3014,$3.35 B,canada,$23.73,1.40%,10.94%,energy oil-gas 
544,Axonics Modulation Tech,3017,$3.35 B,usa,$67.69,0.52%,25.68%,None
545,"Mayr-Melnhof
",3016,$3.35 B,None,$167.46,0.52%,-22.02%,pulp-and-paper packaging 
546,Mayora,3011,$3.36 B,indonesia,$0.14,0.00%,0.00%,None
547,Gelsenwasser,3013,$3.35 B,germany,$977.42,0.00%,-40.52%,None
548,"Axcelis Technologies
",3015,$3.35 B,usa,$102.21,0.21%,43.17%,semiconductors tech manufacturing 
549,"Acushnet Holdings
",3004,$3.38 B,usa,$48.18,-0.21%,-2.23%,sports 
550,"Ollie's Bargain Outlet
",3018,$3.34 B,usa,$53.78,0.72%,18.99%,None
551,NewMarket Corp,3008,$3.36 B,usa,$341.15,0.40%,-2.65%,None
552,Travel + Leisure,3005,$3.38 B,usa,$41.60,1.61%,-26.14%,travel media-press 
553,CVR Energy,3009,$3.36 B,usa,$33.48,2.71%,50.70%,None
554,"Ameris Bancorp
",3010,$3.36 B,usa,$48.50,-0.94%,-12.25%,None
555,Sprouts Farmers Market,3012,$3.36 B,usa,$31.75,0.06%,8.58%,food retail 
556,Logista (Compañía de Distribución Integral Logista),3003,$3.38 B,spain,$25.70,-0.17%,24.09%,transportation 
557,Life Time Group,3006,$3.37 B,usa,$17.38,-0.46%,4.20%,wellness 
558,"First Hawaiian Bank
",3007,$3.36 B,usa,$26.39,-1.35%,-14.73%,None
559,Howden Joinery,2500,$4.71 B,united-kingdom,$8.49,0.35%,-26.62%,home-and-kitchen-appliances retail 
560,"Powszechny Zakład Ubezpieczeń
",2498,$4.72 B,poland,$8.31,0.18%,-11.97%,insurance 
561,HelloFresh,2496,$4.72 B,germany,$27.41,0.08%,-56.72%,internet tech food food-delivery 
562,Schaeffler,2497,$4.72 B,germany,$7.09,0.46%,-18.03%,automotive-suppliers auto-parts manufacturing 
563,Fielmann,3002,$3.39 B,germany,$40.27,0.98%,-36.24%,None
564,Informatica,2495,$4.72 B,usa,$16.69,0.12%,-43.40%,software tech 
565,"Mphasis
",2487,$4.74 B,india,$25.19,0.27%,-42.96%,professional-services it-services 
566,"Ryder
",2490,$4.73 B,usa,$94.27,1.76%,19.36%,transportation rental-and-leasing-services 
567,"Enagás
",2499,$4.72 B,spain,$18.07,1.71%,-21.13%,None
568,MACOM,2489,$4.73 B,usa,$67.04,3.57%,-6.39%,None
569,Natera,2492,$4.72 B,usa,$43.38,8.45%,-35.61%,diagnostics genomics 
570,Bezeq,2486,$4.74 B,israel,$1.72,-1.25%,-1.71%,telecommunication 
571,Asahi Intecc,2494,$4.72 B,japan,$17.40,4.22%,-6.10%,medical-devices medical-equipment 
572,Hiscox,2493,$4.72 B,None,$13.60,0.04%,2.49%,insurance 
573,"CyberAgent
",2488,$4.73 B,japan,$9.37,2.02%,-41.55%,internet advertising video-games entertainment tech 
574,CLEAR Secure,2491,$4.73 B,usa,$31.06,1.27%,27.19%,None
575,Orica,2484,$4.75 B,australia,$10.47,0.00%,8.39%,chemicals 
576,Castellum,2482,$4.75 B,sweden,$14.49,0.70%,-39.35%,real-estate 
577,"Bandhan Bank
",2483,$4.75 B,india,$2.95,-0.10%,-27.16%,banks financial-services 
