,name,industry,sector,headquarters,founded,notes
413,cyprus stock exchange,financials,investment services,nicosia,1996,exchange
414,cyprus university of technology,consumer services,education,limassol,2004,university
415,cyprus weekly,consumer services,publishing,nicosia,1979,cyprus english newspaper
416,cyta,telecommunications,fixed line telecom,nicosia,1961,cyprus telecommunications
417,doxa katokopias fc,consumer services,sports,peristerona,1954,football
418,electricity authority of cyprus,utilities,conventional electricity,nicosia,1952,power utility
419,elias neocleous & co llc,consumer services,legal,limassol,2017,law firm
420,euroafrica interconnector,utilities,electricity,nicosia,2017,infrastructure
421,euroasia interconnector,utilities,electricity,nicosia,2010,infrastructure
422,european university cyprus,consumer services,education,nicosia,1961,university
423,financial mirror,consumer services,publishing,nicosia,1993,magazine
424,frederick university,consumer services,education,limassol,1965,university
425,joannou & paraskevaides,industrials,heavy construction,guernsey,1961,construction
426,health insurance organisation,financials,full line insurance,nicosia,-,commercial insurance
427,hellenic bank,financials,banks,nicosia,1976,bank
428,imperio properties,financials,real estate development,limassol,2003,real estate development
429,ironfx,financials,investment services,limassol,2010,"trading, financial services"
430,keo,consumer goods,soft drinks,limassol,1927,beverage company
431,larnaca international airport,consumer services,travel & leisure,larnaca,1975,mass transit
432,leon beer,consumer goods,brewers,nicosia,1937,brewery
433,leptos estates,financials,real estate development,paphos,1960,property development
434,lois builders,industrials,heavy construction,nicosia,1977,construction
435,medochemie,health care,pharmaceuticals,limassol,1976,pharmaceuticals
436,metro foods trading,consumer services,food retailers & wholesalers,nicosia,1982,supermarket
437,moufflon publications,consumer services,publishing,nicosia,1967,independent press
438,neapolis university paphos,consumer services,education,paphos,2007,university
439,nova cyprus,consumer services,media,nicosia,2004,broadcasting & entertainment
440,omega tv cyprus,consumer services,media,nicosia,1992,broadcasting & entertainment
441,open university of cyprus,consumer services,education,nicosia,2002,university
442,pafos fc,consumer services,sports,pafos,2014,football
443,paphos general hospital,consumer services,health,paphos,1992,hospital
444,paphos international airport,consumer services,travel & leisure,paphos,2008,mass transit
445,petrolina,oil & gas,exploration & production,larnaca,1959,oil & gas
446,pevex management,financials,investment services,nicosia,2008,financial services
447,port of limassol,industrials,industrial transportation,limassol,1956,transportation services
448,primetel plc,telecommunications,fixed line telecom,nicosia,2003,telecom
449,rcb bank,financials,banks,limassol,1995,bank
450,rusal,basic materials,industrial metals & mining,nicosia,2007,aluminium
451,sat-7,consumer services,broadcasting & entertainment,nicosia,1995,international christian satellite television
452,telepassport telecommunications,telecommunications,fixed line telecom,nicosia,2002,telecom
453,the american heart institute,consumer services,health,strovolos,1999,hospital
454,the cyprus institute,technology,research,nicosia,2005,research institute
455,the muscular dystropy research foundation,technology,research,nicosia,1987,research institute
456,the cyprus institute of neurology and genetics,technology,research,nicosia,1990,research institute
457,tsokkos,consumer services,hospitality,ayia napa,1979,hotels
458,tus airways,consumer services,travel & leisure,larnaca,2015,airline
459,universal life,financials,life insurance,nicosia,1970,insurance
460,university of cyprus,consumer services,education,nicosia,1989,university
461,university of nicosia,consumer services,education,nicosia,1980,university
462,wargaming,technology,software,nicosia,1998,games developer
463,woolworths,consumer services,broadline retailers,nicosia,1950,retailer
464,xhamster,technology,software,nicosia,2007,pornographic service
465,aero vodochody,industrials,aerospace,odolena voda,1919,"aircraft, part of penta investments (slovakia)"
466,ahold czech republic,consumer services,food retailers & wholesalers,prague,1991,supermarkets
467,asix s.r.o.,industrials,electronic equipment,prague,1991,"circuits, electronics"
468,avast,technology,software,prague,1988,security software
469,barrandov studios,consumer services,broadcasting & entertainment,prague,1921,film studios
470,budweiser bier bürgerbräu,consumer goods,brewers,české budějovice,1795,brewery
471,budweiser budvar brewery,consumer goods,brewers,české budějovice,1785,brewery
472,česká pošta,industrials,delivery services,prague,1918,postal services
473,česká spořitelna,financials,banks,prague,1825,"bank, part of erste group (austria)"
474,česká zbrojovka firearms,industrials,defense,uherský brod[18],1936,weapons
475,české dráhy,industrials,railroads,prague,2003,railways
476,české radiokomunikace,telecommunications,fixed line telecommunications,prague[19],1963,telecom
477,československá obchodní banka,financials,banks,prague,1964,bank
478,cetin,telecommunications,fixed line telecommunications,prague,2015,telecommunication infrastructure
479,cinema city czech republic,consumer services,recreational services,prague,1999[20],theatres
480,čkd,industrials,commercial vehicles & trucks,prague,1927,"trams, vehicles"
481,cs link,telecommunications,mobile telecommunications,prague,2006,satellite service
482,czech airlines,consumer services,airlines,prague,1923,airline
483,czech national bank,financials,banks,prague,1919,central bank
484,dominant cz,consumer goods,farming & fishing,studenec,1989,hatcheries for hens and chickens
485,indies records,consumer services,broadcasting & entertainment,brno,1990,record label
486,jablotron,consumer goods,consumer electronics,jablonec nad nisou,1990,phones and security devices
487,jan becher,consumer goods,distillers & vintners,karlovy vary,1807,liqueur
488,jihostroj,industrials,aerospace,velešín,1919,aircraft components
489,josef lidl,consumer goods,recreational products,brno,1892,musical instruments
490,kaden models,consumer goods,toys,nový hrádek,1950,toys
491,kenvelo,consumer services,apparel retailers,prague,1991,clothing
492,kofola,consumer goods,soft drinks,ostrava,1960,beverages
493,komerční banka,financials,banks,prague,1990,bank
494,leo express,industrials,railroads,prague,2010,rail
495,liaz,industrials,commercial vehicles & trucks,jablonec nad nisou,1951,"trucks, defunct 2002"
496,mafra,consumer services,publishing,prague,1992,print media
497,meopta,industrials,electronic equipment,přerov,1933,optics
498,metrostav,industrials,heavy construction,prague[21],1971,heavy construction
499,moser,consumer goods,furnishings,karlovy vary,1857,glass
500,o2 czech republic,telecommunications,telecommunications,prague,2006,fixed and mobile operator
501,okd,basic materials,coal,ostrava,1952,coal mining
502,petrof,consumer goods,recreational products,hradec králové,1864,pianos
503,pilsner urquell brewery,consumer goods,brewers,plzeň,1842,brewery
504,preciosa,consumer goods,furnishings,jablonec nad nisou,1948,glasswares
505,racom,consumer goods,consumer electronics,nové město na moravě,1989,electronics
506,red hat czech,technology,software,brno,2006,"software, part of red hat (us)"
507,royal brewery of krušovice,consumer goods,brewers,krušovice,1581,"brewery, now part of heineken (netherlands)"
508,rudolf kämpf,consumer goods,furnishings,nové sedlo,1907,porcelain
509,škoda transportation,industrials,commercial vehicles & trucks,plzeň,1995,mass transport vehicles
510,škoda works,industrials,diversified industrials,plzeň,1859,defunct 1999
511,skylink,telecommunications,mobile telecommunications,prague,2007,satellite service
512,student agency,consumer services,travel & tourism,brno,1996,travel agency
513,supraphon,consumer services,broadcasting & entertainment,prague,1932,record label
514,tatra,industrials,commercial vehicles & trucks,kopřivnice,1850,trucks
515,telekom austria czech republic,telecommunications,fixed line telecommunications,prague,1995,"now volný, a.s., internet services"
516,toyota peugeot citroën automobile czech,consumer goods,automobiles,kolín,2002,automobiles
517,trinec iron and steel works,basic materials,iron & steel,třinec,1836,iron & steel
518,unicredit bank czech republic and slovakia,financials,banks,prague,2006,bank
519,via chem group,basic materials,specialty chemicals,české budějovice,2002,chemicals
520,vodafone czech republic,telecommunications,mobile telecommunications,prague,1982,"mobile operator, part of vodafone (uk)"
521,walter aircraft engines,industrials,industrial machinery,prague,1911,"engines, defunct 2008"
522,zetor,industrials,commercial vehicles & trucks,brno,1946,tractors
523,živnostenská banka,financials,banks,prague,1868,"bank, defunct 2006"
524,alectia,industrials,business support services,virum,1912,business consulting
525,alk-abelló,health care,pharmaceuticals,hørsholm,1923,pharmaceuticals
526,aller media,consumer services,publishing,copenhagen,1873,magazines
527,alm. brand,financials,full line insurance,copenhagen,1792,financial services
528,ambu,health care,medical equipment,copenhagen,1937,health care support
529,arkitema architects,industrials,business support services,aarhus,1969,architecture
530,arla foods,consumer goods,food products,viby j,2000,"food cooperative, dairy"
531,arp-hansen hotel group,consumer services,hotels,copenhagen,1959,hotels
532,bang & olufsen,consumer goods,consumer electronics,struer,1925,"audio, electronics"
533,bestseller a/s,consumer goods,clothing & accessories,brande,1975,clothing
534,bjarke ingels group,industrials,business support services,copenhagen,2005,architecture
535,boconcept,consumer services,specialty retailers,herning,1952,furniture and design
536,brødrene hartmann,industrials,containers & packaging,gentofte,1917,packaging
537,c. f. møller architects,industrials,business support services,aarhus,1922,architecture
538,carlsberg group,consumer goods,brewers,copenhagen,1847,brewing
539,cembrit,industrials,building materials & fixtures,aalborg,1927,fibre cement manufacturer
540,chr. hansen,consumer goods,food products,hørsholm,1874,"food, agriculture"
541,cobe architects,industrials,business support services,copenhagen,2005,architecture
542,coloplast,health care,medical equipment,fredensborg,1957,medical devices
543,coop amba,consumer services,food retailers & wholesalers,copenhagen,1896,"supermarkets, formerly fdb"
544,copenhagen airport,industrials,transportation services,copenhagen,1925,airport
545,co-ro food,consumer goods,food products,frederikssund,1942,food and beverage
546,cowex,technology,software,gentofte,1992,technology
547,cowi a/s,industrials,business support services,kongens lyngby,1930,consulting
