name,headquarters,number_of_employees,address,industry,website,market_cap,telephone,revenue
SKY Perfect JSAT Holdings Inc,Japan,841,"Akasaka Intercity Air, 1-8-1, Akasaka, Minato-Ku, Tokyo, 107-0052",Technology and Communications,www.skyperfectjsat.space/company/resume/sjh,$1.1B,81 3 55711500,$1.1B
United Fire Group Inc,United States of America,"1,086","118 2nd Ave Se, Cedar Rapids, Iowa, 52401-1212",Financial Services,www.ufginsurance.com,$756.2M,1 319 3995700,$1.1B
Bahrain Telecommunications Co BSC,Bahrain,"2,486","P.O.Box 14, Building 1095, Block 1014, Road 1425, Hamala, Manama, 1014",Technology and Communications,www.batelco.com,$2.0B,973 1 7881881,$1.1B
Varta AG,Germany,"4,712","Varta-Platz 1, Ellwangen, 73479",Alternative Energy,www.varta-ag.com,$1.2B,49 7961 9210,$1.1B
Ameris Bancorp,United States of America,"2,865","Suite 1550, 3490 Piedmont Road N.E., Atlanta, Georgia, 30305",Financial Services,www.amerisbank.com,$3.3B,1 404 6396500,$1.1B
Jiangsu Yuyue Medical Equipment & Supply Co Ltd,China,"6,440","No. 1 Baisheng Road, Development Zone, Danyang City, Zhenjiang, Jiangsu, 212300",Medical Equipment,www.yuyue.com.cn,$4.6B,86 511 86900876,$1.1B
AsiaInfo Technologies Ltd,China,"13,309","Asiainfo Plaza, Dong Qu, 10 Xibeiwang Dong Lu, Haidian District, Beijing, 100193",Technology and Communications,www.asiainfo.com,$1.7B,,$1.1B
Choice Hotels International Inc,United States of America,"1,500","Suite 400, 1 Choice Hotels Circle, Rockville, Maryland, 20850",Leisure and Arts,www.choicehotels.com/en-in,$6.4B,1 301 5925181,$1.1B
Esprit Holdings Ltd,Hong Kong,"2,200","Bei Jiao Ma Bao Dao 28 Hao, Hua Hui Zhong Xin 27 Lou, Kowloon Bay, Hong Kong",Retailing,www.esprit.com,$289.7M,852  27654321,$1.1B
Hisamitsu Pharmaceutical Co Inc,Japan,"2,784","30f, Marunouchi Bldg., 2-4-1, Marunouchi, Chiyoda-Ku, Tokyo, 100-6221",Pharmaceuticals and Healthcare,www.hisamitsu.co.jp,$2.6B,81 3 52931700,$1.1B
OHB SE,Germany,"3,077","Manfred-Fuchs-Platz 2-4, Bremen, 28359",Aerospace and Defense,www.ohb.de,$642.8M,49 421 20208,$1.1B
United Bankshares Inc,United States of America,"2,966","300 United Center, , 500 Virginia Street E, Charleston, West Virginia, 25301",Financial Services,www.ubsi-inc.com,$5.2B,1 740 7351104,$1.1B
REA Group Ltd,Australia,"3,103","511 Church Street, Richmond, Victoria, 3121",Media,www.rea-group.com,$11.4B,61 3 98971121,$1.1B
Austal Ltd,Australia,"5,000","100 Clarence Beach Road, Henderson, Perth, 6166",Transport and Logistics,www.austal.com,$452.0M,61 8 94101111,$1.1B
Oil Search Ltd,Papua New Guinea,"1,243","Po Box 842, Port Moresby, 121",Energy and Utilities,www.oilsearch.com,,675 3 225599,$1.1B
Richelieu Hardware Ltd,Canada,"2,800","7900, Boul. Henri-Bourassa Ouest, Montreal, Quebec, H4S1V4",Consumer Packaged Goods,www.richelieu.com,$1.5B,1 514 3364144,$1.1B
National HealthCare Corp,United States of America,"12,965","100 E. Vine St, Murfreesboro, Tennessee, 37130",Pharmaceuticals and Healthcare,nhccare.com,$892.7M,1 615 8902020,$1.1B
Voltas Ltd,India,"8,343","Voltas House, A' Block, Dr. Babasaheb Ambedkar Road, Mumbai, 400033",Industrial Goods and Machinery,www.voltas.com,$3.3B,91 22 66656666,$1.1B
Merit Medical Systems Inc,United States of America,"6,446","1600 West Merit Park Way, South Jordan, Utah, 84095",Medical Equipment,www.merit.com,$4.0B,1 801 2531600,$1.1B
ProAssurance Corp,United States of America,"1,021","100 Brookwood Pl, Birmingham, Alabama, 35209-6811",Financial Services,www.proassurance.com,$1.0B,1 205 8774400,$1.1B
Raya Holding for Financial Investment SAE,Egypt,"10,127","26th July St., Touristic Zone, 6th Of October, Giza, 12568",Technology and Communications,rayacorp.com,$199.7M,20 2 38276000,$1.1B
Tradeweb Markets Inc,United States of America,"1,046","1177 Avenue Of The Americas, New York, 10036-2714",Financial Services,www.tradeweb.com,$17.1B,1 646 4306000,$1.1B
Sanquan Food Co Ltd,China,"7,652","Middle Section, Tianhe Road, Zhengzhou, Henan, 450044",Consumer Packaged Goods,www.sanquan.com,$2.3B,86 371 63987832,$1.1B
Getac Holdings Corp,Taiwan,"11,500","4th Floor, No. 1, R&D 2nd Road, Science Based Industrial Park, Baoshan, 300",Technology and Communications,www.getac.com.tw,$897.7M,886 2 27857888,$1.1B
Fibra Uno Administracion SA de CV,Mexico,317,"Antonio Dovali Jaime 70, Samara Torre B, Piso 11, Colonia Centro Ciudad Santa Fe, 01219",Construction,funo.mx,$5.0B,52 55 41707070,$1.1B
Heiwa Corp,Japan,"5,484","Heiwa Honsha Bldg., 1-16-1, Higashi Ueno, Taito-Ku, Tokyo, 110-0015",Technology and Communications,www.heiwanet.co.jp,$1.8B,81 3 38390077,$1.1B
Fraser & Neave Holdings Bhd,Malaysia,"2,454","F&N Point, No. 3 Jalan Metro Pudu 1, Off Jalan Yew, Fraser Business Park, Kuala Lumpur, 55100",Consumer Packaged Goods,www.fn.com.my,$2.0B,60 3 92352288,$1.1B
Equinox Gold Corp,Canada,683,"Suite 1501, 700 West Pender St., Vancouver, British Columbia, V6C1G8",Metals and Mining,www.equinoxgold.com,$1.2B,1 604 5580560,$1.1B
J.K. Cement Ltd,India,"3,941","Kamla Tower, Kanpur, 208001",Construction,www.jkcement.com,$2.8B,91 512 2371478,$1.1B
Ellaktor SA,Greece,"5,340","25 Ermou Str., Ermou Str. 25, Kifissia, Athina, 14564",Construction,ellaktor.com,$774.1M,30 21 08185000,$1.1B
Taiwan High Speed Rail Corp,Taiwan,"4,608","100, Hsin Yi Road Sec. 5, Taipei, 115",Transport and Logistics,www.thsrc.com.tw,$5.4B,886 2 87892000,$1.1B
China Yurun Food Group Ltd,China,"1,100","No. 10 Yurun Road, Jianye District, Nanjing, Jiangsu, 210041",Consumer Packaged Goods,www.yurun.com.hk,$88.6M,86 25 56677150,$1.1B
P H Glatfelter Co,United States of America,"3,250","4350 Congress Street, Suite 600, Charlotte, North Carolina, 28209",Paper and Packaging,www.glatfelter.com,$149.6M,1 717 2252709,$1.1B
Laureate Education Inc,United States of America,"14,000","78 Sw 7th St, Suite 900, Miami, Florida, 33130",Business and Consumer Services,www.laureate.net,$1.7B,1 410 8436100,$1.1B
Prestige Consumer Healthcare Inc,United States of America,535,"660 White Plains Road, Tarrytown, New York, 10591",Consumer Packaged Goods,www.prestigebrands.com,$3.3B,1 914 5246800,$1.1B
BJ's Restaurants Inc,United States of America,"21,000","Suite 300, 7755 Center Avenue, Huntington Beach, California, 92647",Leisure and Arts,www.bjsrestaurants.com,$730.5M,1 714 5002440,$1.1B
CECEP Solar Energy Co Ltd,China,"1,859","No. 1, Jiefang West Road, Yuzhong District, Beijing, 100082",Alternative Energy,www.cecsec.cn,$4.4B,86 10 83052461,$1.1B
Pennon Group Plc,United Kingdom,"2,636","Peninsula House, Rydon Lane, Exeter, EX27HR",Alternative Energy,www.pennon-group.co.uk,$3.0B,44 1392 446677,$1.1B
Vietnam International Commercial Joint Stock Bank,Vietnam,"11,340","Tang 1 (Tang Tret) Va Tang 2 Toa Nha Sai, So 111a Pasteur, Phuong Ben Nghe, Quan 1, Ho Chi Minh",Financial Services,www.vib.com.vn,$2.1B,84 4 62760068,$1.1B
NetDragon Websoft Holdings Ltd,China,"4,784","851 Building, No.58, Wenquan Branch Road, Fuzhou, Fujian, 350001",Technology and Communications,www.netdragon.com,$1.2B,86 591 87085777,$1.1B
Allied Group Ltd,Hong Kong,"4,020","22nd Floor, Allied Kajima Building, 138 Gloucester Road, Wanchai, Hong Kong",Financial Services,www.alliedgroup.com.hk,$822.7M,852  25192288,$1.1B
Zscaler Inc,United States of America,"4,975","120 Holger Way, San Jose, California, 95134",Technology and Communications,www.zscaler.com,$16.3B,1 408 5330288,$1.1B
Tennant Co,United States of America,"4,263","104000 Clean Street, Eden Prairie, Minnesota, 55344",Industrial Goods and Machinery,www.tennantco.com,$1.2B,1 763 5401200,$1.1B
Punjab & Sind Bank,India,"8,735","21- Rajendra Place, New Delhi, 110008",Financial Services,punjabandsindbank.co.in,$2.6B,91 11 25782926,$1.1B
Gulf Insurance Group KSCP,Kuwait,"3,831","Company Building, Ahmad Al Jaber Street,  Sharq Safat, P.O.Box 1040, Kuwait City, 13011",Financial Services,www.gulfinsgroup.com,$945.4M,965  1802080,$1.1B
Companhia de Saneamento de Minas Gerais,Brazil,"10,572","Rua Mar De Espanha, 525, Bairro Santo Antonio, Belo Horizonte, 30.330-900",Environmental and Waste Management Services,www.copasa.com.br,$1.1B,55 31 32501548,$1.1B
Eastern Co SAE,Egypt,"16,643","450 Al Ahram Street, Giza, 12211",Consumer Packaged Goods,www.easternegypt.com,$1.3B,20 2 35724711,$1.1B
BankUnited Inc,United States of America,"1,465","14817 Oak Ln, Miami Lakes, Florida, 33016-1517",Financial Services,www.bankunited.com,$2.6B,1 305 5692000,$1.1B
The Container Store Group Inc,United States of America,"2,300","500 Freeport Pkwy, Coppell, Texas, 75019",Retailing,investor.containerstore.com/about/overview/default,$250.6M,1 972 5386000,$1.1B
Byblos Bank SAL,Lebanon,"1,520","Byblos Bank Tower, Elias Sarkis Avenue, Achrafieh Area, P.O. Box 1353530, Beirut, 11072811",Financial Services,www.byblosbank.com,$554.2M,961 1 335200,$1.1B
Nigerian Breweries Plc,Nigeria,"2,740","Iganmu House, 1 Abebe Village Road,  Iganmu, Po Box 545, Lagos",Consumer Packaged Goods,www.nbplc.com,$1.1B,234 1 2717400,$1.1B
Vir Biotechnology Inc,United States of America,444,"499 Illinois St Ste 500, San Francisco, California, 94158-2521",Pharmaceuticals and Healthcare,www.vir.bio,$3.5B,1 415 9064324,$1.1B
World Wrestling Entertainment Inc,United States of America,870,"1241 E Main St, Stamford, Connecticut, 6902",Media,corporate.wwe.com,$6.6B,1 203 3528600,$1.1B
PRA Group Inc,United States of America,"3,361","120 Corporate Blvd Ste 100, Norfolk, Virginia, 23502",Financial Services,www.pragroup.com,$1.4B,1 757 5199300,$1.1B
Golden Entertainment Inc,United States of America,"6,300","6595 S Jones Blvd, Las Vegas, Nevada, 89118-3337",Leisure and Arts,www.goldenent.com,$1.1B,1 702 8914284,$1.1B
Einhell Germany AG,Germany,"1,956","Wiesenweg 22, Landau An Der Isar, 94405",Consumer Packaged Goods,www.einhell.com,$253.1M,49 9951 9420,$1.1B
Ichor Holdings Ltd,United States of America,"1,850","3185 Laurelview Ct, Fremont, California, 94538-6535",Technology and Communications,www.ichorsystems.com,$905.6M,1 510 8975200,$1.1B
Astec Industries Inc,United States of America,"4,041","1725 Shepherd Rd, Chattanooga, Tennessee, 37421-2947",Industrial Goods and Machinery,www.astecindustries.com,$874.9M,1 423 8995898,$1.1B
LendingTree Inc,United States of America,"1,407","1415 Vantage Park Drive, Suite 700, Charlotte, North Carolina, 28203",Financial Services,www.lendingtree.com,$383.2M,1 704 5415351,$1.1B
Insulet Corp,United States of America,"2,300","100 Nagog Park, Acton, Massachusetts, 01720-3440",Medical Equipment,www.omnipod.com,$20.1B,1 978 6007000,$1.1B
Veson Holdings Ltd,China,"3,155","Scud Industrial Park, No. 98 Jiangbin Dong Avenue, Fuzhou, Fujian, 350015",Clean Technology,www.scudgroup.com,$39.7M,86 591 63158888,$1.1B
Celsia SA ESP,Colombia,"1,429","Cr 43 A 1 A Sur 143 Piso 5, Medellin",Power,www.celsia.com/es,$661.7M,57 4 3266600,$1.1B
Marston's PLC,United Kingdom,"11,089","Marstons House, Brewery Road, Wolverhampton, WV14JT",Leisure and Arts,www.marstonspubs.co.uk,$324.8M,44 1902 711811,$1.1B
Alior Bank SA,Poland,"7,678","Ul. Lopuszanska 38d, Warszawa, 02-232",Financial Services,www.aliorbank.pl,$1.2B,48 12 3707000,$1.1B
Joyful Honda Co Ltd,Japan,"1,943","1-16-2, Fujisaki, Tsuchiura-Shi, Ibaraki , 300-0813",Retailing,www.joyfulhonda.com,$1.0B,81 29 8222215,$1.1B
Hypera SA,Brazil,"9,000","R Nova Cidade 404, Vila Olimpia, Sao Paulo, 04.547-070",Pharmaceuticals and Healthcare,www.hypera.com.br,$5.4B,55 62 38788150,$1.1B
Uniti Group Inc,United States of America,754,"2101 Riverfront Drive, Suite A, Little Rock, Arkansas, 72202",Construction,uniti.com,$1.4B,1 501 8500820,$1.1B
Vina Concha y Toro SA,Chile,"3,228","Av. Nueva Tajamar 481, Torre Norte, Providencia, Santiago, 7550099",Consumer Packaged Goods,www.conchaytoro.com/es,$925.9M,56 2 4765200,$1.1B
Aditya Birla Fashion and Retail Ltd,India,"24,818","701-704, 7f,Skyline Icon Business Park, 86-92 Offandheri Kurla Rd, Marol Village, Andheri Eas, Mumbai, 400059",Retailing,www.abfrl.com,$3.1B,,$1.1B
TS Corp,South Korea,572,"116, Wolmi-Ro, Jung-Gu, Incheon, 22300",Consumer Packaged Goods,www.ts.co.kr,$212.8M,82 2 4106000,$1.1B
U.S. Silica Holdings Inc,United States of America,"1,863","24275 Katy Freeway, Suite 600, Texas, 77494",Metals and Mining,www.ussilica.com,$885.8M,1 301 6820600,$1.1B
MLP SE,Germany,"2,258","Alte Heerstrasse 40, Wiesloch, 69168",Financial Services,mlp-se.de,$653.7M,49 6222 3080,$1.1B
Wuhan Department Store Group Co Ltd,China,"9,373","No. 690, Jiefang Avenue, Jianghan District, Wuhan, Hubei, 430022",Retailing,www.wushang.com.cn,$1.2B,86 27 85714295,$1.1B
Energinet.dk,Denmark,"1,155","Tonne Kjaersvej 65, Fredericia, 7000",Power,www.energinet.dk,,45 70 102244,$1.1B
CBIZ Inc,United States of America,"6,000","Suite 500, 6050 Oak Tree Boulevard, South, Cleveland, Ohio, 44131",Business and Consumer Services,www.cbiz.com,$2.4B,1 216 4479000,$1.1B
Bio-Techne Corp,United States of America,"3,000","614 Mckinley Pl N E, Minneapolis, Minnesota, 55413",Medical Equipment,www.bio-techne.com,$12.6B,1 612 3798854,$1.1B
Commercial Bank of Dubai PSC,United Arab Emirates,"1,110","Al Itihad Road, Deira,  2668, P.O. Box, Dubai",Financial Services,www.cbd.ae,$3.7B,971 4 2121000,$1.1B
Duke Realty Corp,United States of America,340,"8711 River Crossing Blvd, Indianapolis, 46240",Construction,www.dukerealty.com,$18.6B,1 317 8086000,$1.1B
JSW Energy Ltd,India,"1,603","Jsw Centre, Bandra Kurla Complex, Bandra (East), Mumbai, 400051",Power,www.jsw.in/energy,$5.3B,91 22 42861000,$1.1B
Grand Pharmaceutical Group Ltd,Hong Kong,"9,649","Units 3302, The Center, 99 Queen's Road Central, Hong Kong",Pharmaceuticals and Healthcare,chinagrandpharm.com,$2.2B,852 2 8663718,$1.1B
Toho Zinc Co Ltd,Japan,"1,051","Tekko Bldg., 1-8-2, Marunouchi, Chiyoda-Ku, Tokyo, 100-8207",Metals and Mining,www.toho-zinc.co.jp,$226.4M,81362121711,$1.1B
Banco del Bajio SA,Mexico,,"Avenida Manuel J. Clouthier No. 402, Colonia Jardines De Campestre, Leon, 37128",Financial Services,www.bb.com.mx,$4.3B,52 477 7104699,$1.1B
Armstrong World Industries Inc,United States of America,"2,960","2500 Columbia Ave, Lancaster, Pennsylvania, 17603",Construction,www.armstrong.com,$3.4B,1 717 3970611,$1.1B
Biocon Ltd,India,"3,203","20th Km, Hosur Road, Electronics City, Bangalore, 560100",Pharmaceuticals and Healthcare,www.biocon.com,$3.6B,91 80 28082808,$1.1B
IBL Ltd,Mauritius,"24,404","Ibl House Caudan Waterfront, Port Louis",Financial Services,www.iblgroup.com,$762.7M,230 203 2000,$1.1B
North Pacific Bank Ltd,Japan,"2,976","3-7, Odori-Nishi, Chuo-Ku, Sapporo-Shi, Hokkaido, 060-0042",Financial Services,www.hokuyobank.co.jp,$831.6M,81 11 2611311,$1.1B
Rayonier Inc,United States of America,406,"1 Rayonier Way, Jacksonville, Florida, 32097",Construction,www.rayonier.com,$5.0B,1 904 3579100,$1.1B
Taiwan Business Bank Co Ltd,Taiwan,"5,617","No. 30, Ta Cheng Street, Neighborhood 9, Yuchuan Li, Datong District, Taipei, 103",Financial Services,www.tbb.com.tw,$3.6B,886 2 25597171,$1.1B
WNS (Holdings) Ltd,India,"52,081","Gate 4, Godrej & Boyce Complex, Pirojshanagar, Vikroli(W), Mumbai, 400079",Technology and Communications,www.wns.com/about-wns,$4.0B,91 22 40812882,$1.1B
SATO Holdings Corp,Japan,"5,656","Tamachi Station Tower N, Msb Tamachi, 3-1-1, Shibaura, Minato-Ku, Tokyo, 108-0023",Technology and Communications,www.sato.co.jp,$533.6M,81 3 66282400,$1.1B
"Senao International Co., Ltd.",Taiwan,"3,752","2f, No.531, Chung Cheng Road, Hsin-Tien District, New Taipei, 231",Technology and Communications,www.senao.com.tw,$268.9M,886 2 22183588,$1.1B
Royal Bafokeng Platinum Ltd,South Africa,"11,158","The Pivot No 1 Monte Casino Boulavard, Block C 4th Floor Fourways, Johannesburg, 2021",Metals and Mining,www.bafokengplatinum.co.za,$2.8B,27 11 5308040,$1.1B
Century Pacific Food Inc,Philippines,"18,753","7th Floor,Centerpoint Building, Ortigas Business Center, Metro Manila, Julia Vargas Corner Garnet Street, Pasig, 1605",Consumer Packaged Goods,centurypacific.com.ph,$1.6B,63 2 86338555,$1.1B
Elopak AS,Norway,"2,600","Karenslyst Alle 53, Oslo, 0279",Paper and Packaging,www.elopak.com,$655.7M,47 31 271000,$1.1B
Extreme Networks Inc,United States of America,"2,643","2121 Rdu Center Drive, Suite 300, Morrisville, North Carolina, 27560",Technology and Communications,www.extremenetworks.com,$2.5B,1 408 5792800,$1.1B
Thryv Holdings Inc,United States of America,"2,630","2200 West Airfield Drive, P.O. Box 619810, Dallas Fort Worth Airport, Texas, 75261-9810",Media,www.thryv.com,$696.7M,1 972 4537000,$1.1B
DXP Enterprises Inc,United States of America,"2,490","5301 Hollister Street, Houston, Texas, 77040",Industrial Goods and Machinery,www.dxpe.com,$550.7M,1 713 9964700,$1.1B
Vossloh AG,Germany,"3,792","Vosslohstrasse 4, Werdohl, 58791",Construction,www.vossloh.com,$803.7M,49 2392 520,$1.1B
China Motor Corporation,Taiwan,"4,779","11f, No.2, Section 2, Tun Hwa South Road Da'An District, Taipei, 106",Automotive,www.china-motor.com.tw,$1.0B,886 2 23250000,$1.1B
Hangzhou Silan Microelectronics Co Ltd,China,"6,880","No.4 Huanggushan Road, Hangzhou, Zhejiang, 310012",Technology and Communications,www.silan.com.cn,$7.3B,86 571 88210880,$1.1B
888 Holdings Plc,United Kingdom,"1,764","Suite 601/701, Europort Road, Europort, Gibraltar City",Leisure and Arts,corporate.888.com,$526.5M,350 200 49800,$1.1B
PT Tunas Baru Lampung Tbk,Indonesia,"2,838","Wisma Budi Lantai 8-9, Jl. H.R. Rasuna Said Kav. C-6, Jakarta, 12940",Chemicals,www.tunasbarulampung.com,$241.4M,62 21 5213383,$1.1B
Villeroy & Boch AG,Germany,"6,408","Saaruferstrasse, Mettlach, 66693",Consumer Packaged Goods,www.villeroyboch-group.com,$293.3M,49 6864 810,$1.1B
"Ichikoh Industries, Ltd.",Japan,"3,519","80, Itado, Isehara-Shi, Kanagawa, 259-1192",Automotive,www.ichikoh.com,$274.3M,81 46 3961451,$1.1B
Radisson Hospitality AB,Belgium,"4,431","Avenue du Bourget 44, Brussels, Bruxelles-Capitale , B1130",Leisure and Arts,www.radissonhospitalityab.com/,,32 2 7029200,$1.1B
SpareBank 1 SR-Bank ASA,Norway,"1,510","Christen Tranes Gate 35, Stavanger, 4007",Financial Services,www.sparebank1.no/nb/bank,$3.0B,47 91 502002,$1.1B
Hanger Inc,United States of America,"5,200","Suite 300, 10910 Domain Drive, Austin, Texas, 78758",Medical Equipment,corporate.hanger.com/about,,1 512 7773800,$1.1B
Quest Holdings SA,Greece,"2,383","2a, Argyroupoleos Str., Kallithea, Athina, 17676",Technology and Communications,www.quest.gr,$615.6M,30 21 19994000,$1.1B
Unilumin Group Co Ltd,China,"5,876","Building A, No. 112 Yongfu Road, Qiaotou Community, Fuyong Street, Baoan District, Shenzhen, Guangdong, 518103",Construction,www.unilumin.cn,$948.3M,86 755 29918999,$1.1B
Universal Insurance Holdings Inc,United States of America,"1,047","Suite 100, 1110 W. Commercial Blvd., Fort Lauderdale, Florida, 33309",Financial Services,universalinsuranceholdings.com,$371.0M,1 954 9581200,$1.1B
Renew Holdings Plc,United Kingdom,"3,630","3175 Century Way, Thorpe Park, Leeds, LS158ZB",Construction,www.renewholdings.com,$706.9M,44 113 2814200,$1.1B
ExlService Holdings Inc,United States of America,"37,400","320 Park Ave Fl 29, New York, 10022-6815",Technology and Communications,www.exlservice.com,$5.5B,1 212 2777100,$1.1B
Systemair AB,Sweden,"6,830","Industrivagen 3, Skinnskatteberg, 73930",Construction,www.systemair.com,$1.6B,46 222 44000,$1.1B
Balkrishna Industries Ltd,India,"3,229","Bkt House,C/15, Trade World,Kamala Mills Compound, Senapati Bapat Marg, Lower Parel, Mumbai, 400011",Automotive,www.bkt-tires.com,$5.3B,91 22 66663800,$1.1B
Electricity Generating Public Co Ltd,Thailand,388,"Egco Tower,222 Moo 5, Vibhavadi Rangsit Road, Thungsonghong, Lak Si, Bangkok, 10210",Power,www.egco.com/en,$2.8B,66 29 985000,$1.1B
Wafa Assurance SA,Morocco,491,"1, Bd Abdelmoumen, Casablanca, 20100",Financial Services,www.wafaassurance.ma,$1.2B,212 52 2545555,$1.1B
Godrej Agrovet Ltd,India,"2,711","Plot No B-2, M.I.D.C, Miraj Industrial Area, Mumbai, 400079",Agriculture and Forestry,www.godrejagrovet.com,$1.1B,91 22 25194416,$1.1B
UNO Minda Ltd,India,"5,766","Nawada, Fatehpur, Sikanderpur Badda Imt Manesar, Gurgaon, 122004",Automotive,unominda.com,$3.6B,91 124 2290693,$1.1B
Bank Millennium SA,Poland,"6,778","Ul. Stanislawa Zaryna 2a, Warszawa, 02-593",Financial Services,www.bankmillennium.pl,$1.4B,48 22 5981110,$1.1B
Premier Investments Ltd,Australia,"11,000","Level 7, 417 St Kilda Road, Melbourne, Victoria, 3004",Retailing,www.premierinvestments.com.au,$3.0B,61 3 96506500,$1.1B
Ferro Corp,United States of America,"3,585","6060 Parkland Blvd Ste 250, Mayfield Heights, Ohio, 44124-4225",Chemicals,www.ferro.com,$1.8B,1 216 8755458,$1.1B
PT Lippo Karawaci Tbk,Indonesia,"14,014","Lippo Karawaci Central, Tangerang, 15811",Construction,www.lippokarawaci.co.id,$346.1M,62 25 669000,$1.1B
