name,world_rank,marketValue,marketCap,CEO,country
WORKDAY,288,62.560 Billion USD,67.744 Billion USD,Chano Fernandez,USA
SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS,289,62.482 Billion USD,60.359 Billion USD,,China
PUBLIC STORAGE,290,62.411 Billion USD,56.793 Billion USD,Joseph D. Russell Jr,USA
HDFC,291,62.404 Billion USD,68.936 Billion USD,,India
AON,292,62.305 Billion USD,64.758 Billion USD,Dennis L Mahoney,USA
RECKITT BENCKISER GROUP,293,62.297 Billion USD,54.780 Billion USD,,UK
BAJAJ FINANCE,294,61.948 Billion USD,63.560 Billion USD,,India
FREEPORT-MCMORAN,295,61.500 Billion USD,53.423 Billion USD,James R Moffett,USA
BANCO SANTANDER,296,61.025 Billion USD,63.883 Billion USD,,Spain
"COINBASE GLOBAL, INC",297,60.847 Billion USD,67.832 Billion USD,Brian Armstrong,USA
AB VOLVO,298,60.845 Billion USD,56.225 Billion USD,Carl-Henric Svanberg,Sweden
VINCI,299,60.651 Billion USD,63.458 Billion USD,,France
PERNOD RICARD,300,60.061 Billion USD,56.418 Billion USD,,France
BOSTON SCIENTIFIC CORPORATION,301,60.006 Billion USD,64.287 Billion USD,Michael F. Mahoney,USA
SAUDI TELECOM COMPANY (STC),302,59.860 Billion USD,72.144 Billion USD,Olayan M. Alwetaid,Saudi Arabia
ANGLO AMERICAN,303,59.386 Billion USD,57.498 Billion USD,,UK
INFINEON TECHNOLOGIES AG,304,59.352 Billion USD,55.947 Billion USD,,Germany
PJSC LUKOIL,305,59.246 Billion USD,55.821 Billion USD,,Russia
SOFTBANK CORP.,306,59.235 Billion USD,63.618 Billion USD,Ken Miyauchi,Japan
GENERAL DYNAMICS CORPORATION,307,59.220 Billion USD,55.995 Billion USD,Nicholas Chabraja,USA
SCENTRE GROUP,308,59.068 Billion USD,10.700 Billion USD,,Australia
NXP SEMICONDUCTORS,309,58.859 Billion USD,60.355 Billion USD,Kurt Sievers,Netherlands
STATE BANK OF INDIA,310,58.772 Billion USD,53.704 Billion USD,,India
RELX,311,58.743 Billion USD,58.323 Billion USD,,UK
XIAOMI CORPORATION,312,58.447 Billion USD,82.097 Billion USD,Lei Jun,China
MACQUARIE GROUP,313,116.670 Billion USD,47.650 Billion USD,,Australia
ILLUMINA,314,57.887 Billion USD,71.546 Billion USD,John W. Thompson,USA
AUTODESK,315,57.703 Billion USD,68.224 Billion USD,Stacy J. Smith,USA
LONZA GROUP,316,57.618 Billion USD,61.909 Billion USD,Albert M. Baehny,Switzerland
ANZ BANKING GROUP,317,57.484 Billion USD,60.181 Billion USD,,Australia
EOG RESOURCES,318,57.432 Billion USD,39.422 Billion USD,Ezra Yacob,USA
CHINA TELECOM CORPORATION,319,57.142 Billion USD,59.710 Billion USD,Mr. Ke Ruiwen,China
WESTPAC BANKING CORPORATION,320,57.029 Billion USD,69.093 Billion USD,,Australia
EMERSON ELECTRIC COMPANY,321,57.002 Billion USD,63.068 Billion USD,Lal Karsanbhai,USA
METLIFE,322,56.576 Billion USD,53.128 Billion USD,C. Robert Henrikson,USA
VERTEX PHARMACEUTICALS,323,56.406 Billion USD,51.961 Billion USD,Reshma Kewalramani,USA
SHANXI XINGHUACUN FEN WINE FACTORY,324,56.401 Billion USD,51.060 Billion USD,,China
ING GROUP,325,56.183 Billion USD,53.954 Billion USD,,Netherlands
HITACHI,326,56.145 Billion USD,54.345 Billion USD,Toshiaki Higashihara,Japan
HAPAG-LLOYD,327,55.995 Billion USD,40.048 Billion USD,,Germany
CANADIAN IMPERIAL BANK OF COMMERCE,328,55.942 Billion USD,51.764 Billion USD,Katharine Stevenson ,Canada
JOHNSON CONTROLS INTERNATIONAL,329,55.832 Billion USD,53.395 Billion USD,George R. Oliver,USA
"YIHAI KERRY ARAWANA HOLDINGS CO., LTD",330,55.655 Billion USD,55.886 Billion USD,,China
CANADIAN NATURAL RESOURCES,331,55.652 Billion USD,39.058 Billion USD,N. Murray Edwards,Canada
VERBUND AG,332,55.641 Billion USD,38.474 Billion USD,Martin Ohneberg,Austria
SIKA AG,333,55.610 Billion USD,50.743 Billion USD,Paul J. Halg,Switzerland
EXELON CORPORATION,334,55.412 Billion USD,47.933 Billion USD,Frank M. Clark,USA
OPEN JOINT STOCK COMPANY OMZ,335,55.251 Billion USD,46.998 Billion USD,,Russia
DOLLAR GENERAL CORPORATION,336,55.209 Billion USD,52.007 Billion USD,David Perdue,USA
FIRST ABU DHABI BANK,337,55.050 Billion USD,50.500 Billion USD,Hana Al Rostamani,UAE
PACIFICORP,338,55.002 Billion USD,61.343 Billion USD,Stefan Bird,USA
THOMSON REUTERS CORPORATION,339,54.854 Billion USD,57.960 Billion USD,David Thomson,Canada
ADIDAS,340,54.843 Billion USD,69.940 Billion USD,,Germany
EAST MONEY INFORMATION,341,54.824 Billion USD,49.209 Billion USD,,China
MERCADOLIBRE,342,54.766 Billion USD,92.834 Billion USD,Stelleo Passos Tolda,Argentina
NINTENDO,343,54.630 Billion USD,58.231 Billion USD,Shuntaro Furukawa,Japan
BAYER,344,54.460 Billion USD,55.343 Billion USD,,Germany
SAFRAN,345,54.377 Billion USD,54.464 Billion USD,,France
LUZHOU LAOJIAO,346,54.324 Billion USD,40.027 Billion USD,Liu Miao,China
MARRIOTT INTERNATIONAL,347,54.278 Billion USD,44.009 Billion USD,Bill Marriott,USA
WIPRO,348,54.257 Billion USD,51.170 Billion USD,,India
INTESA SANPAOLO,349,53.948 Billion USD,55.537 Billion USD,Gian Maria Gros-Pietro,Italy
GREAT WALL MOTOR COMPANY,350,53.655 Billion USD,73.913 Billion USD,Wei Jianjun,China
FAST RETAILING,351,53.635 Billion USD,68.150 Billion USD,Tadashi Yanai,Japan
LONDON STOCK EXCHANGE GROUP,352,53.536 Billion USD,55.704 Billion USD,,UK
HON HAI PRECISION INDUSTRY,353,53.431 Billion USD,55.404 Billion USD,Liu Young-Way,Taiwan
BAIDU,354,53.368 Billion USD,54.652 Billion USD,Robin Li,China
CHUGAI PHARMACEUTICAL,355,52.995 Billion USD,65.402 Billion USD,Christoph Franz,Japan
SIMON PROPERTY GROUP,356,52.996 Billion USD,45.156 Billion USD,David Simon,USA
KEURIG DR PEPPER,357,52.890 Billion USD,50.562 Billion USD,Robert Gamgort,USA
S.F. HOLDING,358,52.740 Billion USD,40.051 Billion USD,,China
IKEA,358,358,358,Anders Dahlvig,USA
DSV PANALPINA,359,52.508 Billion USD,60.941 Billion USD,Thomas Plenborg,Denmark
PING AN BANK,360,52.303 Billion USD,52.047 Billion USD,"MA Mingzhe, Peter",China
NATIONAL GRID TRANSCO,361,52.115 Billion USD,46.940 Billion USD,,UK
PALO ALTO NETWORKS,362,51.848 Billion USD,44.859 Billion USD,Nikesh Arora,USA
TE CONNECTIVITY,363,51.743 Billion USD,49.272 Billion USD,Tom Lynch,Switzerland
ENI S.P.A.,364,51.734 Billion USD,44.110 Billion USD,Lucia Calvosa,Italy
LUXSHARE PRECISION INDUSTRY,365,51.647 Billion USD,36.208 Billion USD,Lai Chun Wang,China
BHARTI AIRTEL,366,51.523 Billion USD,50.778 Billion USD,,India
THE BANK OF NEW YORK MELLON CORPORATION,367,51.473 Billion USD,47.664 Billion USD,Gerald L. Hassell,USA
FORTINET,368,51.447 Billion USD,52.163 Billion USD,Ken Xie,USA
BIONTECH SE,369,51.375 Billion USD,79.834 Billion USD,Ugur Sahin,Germany
HOYA CORPORATION,370,51.220 Billion USD,60.197 Billion USD,Hiroshi Suzuki,Japan
QATAR NATIONAL BANK,371,51.151 Billion USD,47.782 Billion USD,HE Ali Ahmed Al Kuwari,Qatar
ZOOM VIDEO COMMUNICATIONS,372,51.136 Billion USD,86.019 Billion USD,Eric Yuan,USA
ENTERPRISE PRODUCTS PARTNERS,373,51.062 Billion USD,48.647 Billion USD,William C. Montgomery,USA
BANK OF COMMUNICATIONS,374,51.057 Billion USD,47.967 Billion USD,Ren Deqi,China
JIANGSU HENGRUI MEDICINE,375,50.995 Billion USD,44.709 Billion USD,Sun Piaoyang,China
LLOYDS BANKING GROUP,376,51.001 Billion USD,43.652 Billion USD,,UK
HONDA MOTOR,377,50.891 Billion USD,52.753 Billion USD,Fumihiko Ike,Japan
MURATA MANUFACTURING,378,50.865 Billion USD,54.946 Billion USD,Tsuneo Murata,Japan
SYNOPSYS,379,50.690 Billion USD,50.979 Billion USD,Aart J. de Geus,USA
WANHUA CHEMICAL GROUP,380,50.602 Billion USD,50.393 Billion USD,Liao Zengtai,China
VMWARE,381,50.552 Billion USD,62.373 Billion USD,Michael Dell,USA
ORIENTAL LAND,382,50.537 Billion USD,49.349 Billion USD,Toshio Kagami,Japan
KOTAK MAHINDRA BANK,383,50.491 Billion USD,48.370 Billion USD,,India
AMERICAN INTERNATIONAL GROUP (AIG),384,50.432 Billion USD,46.660 Billion USD,Brian Duperreault,USA
IHS MARKIT,385,50.254 Billion USD,48.073 Billion USD,Lance Uggla,UK
WUXI APPTEC,386,50.136 Billion USD,61.367 Billion USD,Ge Li,China
ACTIVISION BLIZZARD,387,49.880 Billion USD,64.060 Billion USD,Bobby Kotick,USA
MONSTER BEVERAGE CORPORATION,388,49.771 Billion USD,51.730 Billion USD,Rodney Cyril Sacks,USA
FIRST GULF BANK,388,388,,,UAE
SOUTHERN COPPER CORPORATION,389,49.748 Billion USD,48.387 Billion USD,German Larrea Mota-Velasco,Mexico
NORDEA BANK ABP,390,49.607 Billion USD,49.772 Billion USD,Torbjorn Magnusson,Finland
PRUDENTIAL,391,49.339 Billion USD,54.470 Billion USD,,UK
SUMITOMO MITSUI FINANCIAL GROUP,392,49.238 Billion USD,48.103 Billion USD,Takeshi Kunibe,Japan
CNOOC LIMITED,393,49.168 Billion USD,46.085 Billion USD,Wang Dongjin,China
SCHLUMBERGER,394,49.134 Billion USD,39.212 Billion USD,Andrew Gould,USA
AMPHENOL CORPORATION,395,49.110 Billion USD,45.839 Billion USD,Martin H. Loeffler,USA
IQVIA HOLDINGS,396,49.080 Billion USD,49.767 Billion USD,Ari Bousbib,USA
ROBLOX CORP,397,48.836 Billion USD,47.191 Billion USD,David B. Baszucki,USA
CITIC SECURITIES COMPANY,398,48.789 Billion USD,48.814 Billion USD,Zhu Hexin,China
ROPER TECHNOLOGIES,399,48.674 Billion USD,50.949 Billion USD,Neil Hunn,USA
PIONEER NATURAL RESOURCES COMPANY,400,48.600 Billion USD,36.513 Billion USD,Scott D. Sheffield,USA
KIMBERLY-CLARK CORPORATION,401,48.400 Billion USD,46.409 Billion USD,Thomas J. Falk,USA
EQT AB (PUBL),402,48.284 Billion USD,50.965 Billion USD,Conni Jonsson,Sweden
XILINX,403,48.220 Billion USD,38.504 Billion USD,Dennis Segers,USA
MITSUBISHI CORPORATION,404,48.174 Billion USD,44.754 Billion USD,Takehiko Kakiuchi,Japan
TC ENERGY CORPORATION,405,47.883 Billion USD,46.497 Billion USD,Francois Poirier,Canada
EDEKA GROUP,405,405,,Markus Mosa,Germany
WESFARMERS,406,47.592 Billion USD,48.639 Billion USD,,Australia
BARCLAYS PLC,407,47.535 Billion USD,43.534 Billion USD,,UK
BCE (Bell Canada Enterprises),408,47.394 Billion USD,47.255 Billion USD,Mirko Bibic,Canada
NEWMONT CORPORATION,409,47.392 Billion USD,46.341 Billion USD,Wayne W Murdy,USA
3I GROUP,410,47.296 Billion USD,40.133 Billion USD,,UK
MMC NORILSK NICKEL,411,47.226 Billion USD,51.394 Billion USD,Andrey Bougrov,Russia
HCL TECHNOLOGIES,412,46.927 Billion USD,44.226 Billion USD,,India
ORSTED A/S,413,46.812 Billion USD,67.699 Billion USD,Thomas Thune Andersen,Denmark
HUMANA,414,46.680 Billion USD,52.110 Billion USD,Kurt Hilzinger,USA
IDEXX LABORATORIES,415,46.662 Billion USD,58.445 Billion USD,Jonathan W. Ayers,USA
NIO INC,416,46.604 Billion USD,64.410 Billion USD,Bin Li,China
SAMSUNG BIOLOGICS,417,46.573 Billion USD,54.740 Billion USD,John Rim,South Korea
WALGREENS BOOTS ALLIANCE,418,46.515 Billion USD,43.898 Billion USD,Stefano Pessina,USA
PAYCHEX,419,46.480 Billion USD,41.190 Billion USD,Martin Mucci,USA
MUYUAN FOODS,420,46.401 Billion USD,35.352 Billion USD,Qin Yinglin,China
CREDIT AGRICOLE,421,46.250 Billion USD,44.696 Billion USD,,France
CONSTELLATION BRANDS,422,46.220 Billion USD,40.707 Billion USD,Richard Sands,USA
GIVAUDAN SA,423,46.065 Billion USD,45.552 Billion USD,Calvin Grieder,Switzerland
CADENCE DESIGN SYSTEMS,424,46.011 Billion USD,45.248 Billion USD,Anirudh Devgan,USA
O'REILLY AUTOMOTIVE,425,45.969 Billion USD,40.963 Billion USD,David E Oreilly,USA
ASIAN PAINTS,426,45.949 Billion USD,44.366 Billion USD,,India
LULULEMON ATHLETICA,427,45.928 Billion USD,54.166 Billion USD,Glenn K. Murphy(Non-Executive Chairman),Canada
SPACEX,427,427,427,Elon Musk,USA
STRIPE,427,427,427,,USA
COGNIZANT TECHNOLOGY SOLUTIONS,428,45.918 Billion USD,40.292 Billion USD,Rajesh Nambiar,USA
ITOCHU CORPORATION,429,45.880 Billion USD,44.708 Billion USD,Masahiro Okafuji,Japan
APTIV,430,45.844 Billion USD,41.169 Billion USD,Kevin P. Clark,Ireland
KRAFT HEINZ COMPANY,431,45.718 Billion USD,44.030 Billion USD,Miguel Patricio,USA
DIGITAL REALTY TRUST,432,45.707 Billion USD,46.441 Billion USD,Laurence A. Chapman,USA
DEXCOM,433,45.698 Billion USD,51.221 Billion USD,Kevin Sayer,USA
MSCI,434,45.511 Billion USD,52.316 Billion USD,Henry A. Fernandez,USA
"COUPANG, INC.",435,45.485 Billion USD,51.998 Billion USD,Bom Suk Kim,South Korea
MICROCHIP TECHNOLOGY,436,45.461 Billion USD,43.123 Billion USD,Steve Sanghi,USA
STMICROELECTRONICS,437,45.434 Billion USD,40.157 Billion USD,,Switzerland
DOORDASH,438,45.377 Billion USD,64.681 Billion USD,Tony Xu,USA
AMERICAN ELECTRIC POWER COMPANY,439,45.072 Billion USD,44.807 Billion USD,Nick Akins,USA
FORTESCUE METALS GROUP,440,45.032 Billion USD,46.296 Billion USD,,Australia
CHIPOTLE MEXICAN GRILL,441,44.955 Billion USD,53.474 Billion USD,Steve Ells,USA
TRAFIGURA,442,442,442,Jeremy Weir,USA
TRANE TECHNOLOGIES PLC,442,44.959 Billion USD,47.165 Billion USD,,Ireland
LINKEDIN,443,443,443,Jeff Weiner,USA
CARRIER GLOBAL,443,44.924 Billion USD,49.980 Billion USD,David Gitlin,USA
DATADOG,444,44.865 Billion USD,42.720 Billion USD,Olivier Pomel,USA
CENTENE CORPORATION,445,44.545 Billion USD,36.720 Billion USD,Michael F. Neidorff,USA
JARDINE MATHESON HOLDINGS,446,44.512 Billion USD,45.104 Billion USD,,Bermuda
DELL TECHNOLOGIES,447,44.298 Billion USD,74.429 Billion USD,Michael S. Dell,USA
LG CHEM,448,44.149 Billion USD,50.469 Billion USD,"Shin, Hak-Cheol",South Korea
SEMPRA ENERGY,449,44.136 Billion USD,42.266 Billion USD,Jeffrey W. Martin,USA
PT BANK RAKYAT INDONESIA (PERSERO) TBK,450,44.008 Billion USD,33.383 Billion USD,,Indonesia
T. ROWE PRICE GROUP,451,43.910 Billion USD,50.804 Billion USD,Rob Sharps,USA
AGILENT TECHNOLOGIES,452,43.835 Billion USD,53.245 Billion USD,Michael R. McMullen,USA
BAXTER INTERNATIONAL,453,43.786 Billion USD,38.103 Billion USD,Jose E. Almeida,USA
DOW Inc,454,43.711 Billion USD,46.909 Billion USD,Jim Fitterling,USA
MARATHON PETROLEUM CORPORATION,455,43.664 Billion USD,37.826 Billion USD,John P. Surma(Non-Executive Chairman),USA
WUXI BIOLOGICS (CAYMAN),456,43.633 Billion USD,64.339 Billion USD,Ge Li(Non-Executive Chairman),China
GLOBAL PAYMENTS,457,43.581 Billion USD,47.775 Billion USD,Jeffrey S. Sloan,USA
COSCO SHIPPING HOLDINGS,458,43.536 Billion USD,45.027 Billion USD,Wan Min,China
PRUDENTIAL FINANCIAL,459,43.391 Billion USD,40.870 Billion USD,Arthur F. Ryan,USA
JARDINE STRATEGIC HOLDINGS,460,460,37.907 Billion USD,,Hong Kong
CROWDSTRIKE HOLDINGS,460,43.343 Billion USD,63.453 Billion USD,Gerhard Watzinger,USA
HAIER SMART HOME,461,43.245 Billion USD,39.285 Billion USD,Zhang Ruimin,China
SMC CORPORATION,462,43.223 Billion USD,42.861 Billion USD,Katsunori Maruyama,Japan
MUNCHENER RUCKVERSICHERUNGS-GESELLSCHAFT,463,43.178 Billion USD,41.115 Billion USD,,Germany
NU HOLDINGS LTD.,464,43.137 Billion USD,,,Brazil
ALIGN TECHNOLOGY,465,43.132 Billion USD,56.108 Billion USD,"C. Raymond Larkin, Jr",USA
L3HARRIS TECHNOLOGIES,466,43.124 Billion USD,46.822 Billion USD,Chris Kubasik,USA
DUPONT DE NEMOURS,467,43.101 Billion USD,38.717 Billion USD,Edward D. Breen,USA
TAKEDA PHARMACEUTICAL COMPANY,468,43.085 Billion USD,53.344 Billion USD,Yasuchika Hasegawa,Japan
SVB FINANCIAL GROUP,469,43.027 Billion USD,32.822 Billion USD,Roger F. Dunbar,USA
VODAFONE GROUP,470,43.005 Billion USD,47.217 Billion USD,,UK
SPOTIFY TECHNOLOGY,471,42.828 Billion USD,44.842 Billion USD,Daniel Ek,Sweden
EXPERIAN,472,42.818 Billion USD,41.303 Billion USD,,Ireland
MOTOROLA SOLUTIONS,473,42.655 Billion USD,41.410 Billion USD,Greg Brown,USA
REPUBLIC SERVICES,474,42.418 Billion USD,39.519 Billion USD,Manuel Kadre,USA
HILTON WORLDWIDE HOLDINGS,475,42.366 Billion USD,34.797 Billion USD,Christopher J. Nassetta,USA
ALIMENTATION COUCHE-TARD,476,42.170 Billion USD,43.219 Billion USD,Bouchard,Canada
NAVER CORPORATION,477,42.080 Billion USD,57.129 Billion USD,Choi Soo-yeon,South Korea
Z HOLDINGS CORPORATION,478,41.968 Billion USD,49.641 Billion USD,Kentaro Kawabe,Japan
VONOVIA SE,479,41.881 Billion USD,38.391 Billion USD,,Germany
HP INC,480,41.847 Billion USD,35.725 Billion USD,Enrique Lores,USA
FIAT CHRYSLER AUTOMOBILES,481,481,36.501 Billion USD,John Elkann,UK
PARKER-HANNIFIN CORPORATION,481,41.605 Billion USD,38.300 Billion USD,Donald E. Washkewicz,USA
BANCO BILBAO VIZCAYA ARGENTARIA,482,41.592 Billion USD,43.630 Billion USD,,Spain
AUTOZONE,483,41.574 Billion USD,33.376 Billion USD,William C. Rhodes III,USA
EBAY,484,41.517 Billion USD,49.885 Billion USD,Paul Pressler,USA
APOLLO GLOBAL MANAGEMENT,485,41.376 Billion USD,14.080 Billion USD,Marc Rowan,USA
GENERAL MILLS,486,41.362 Billion USD,35.049 Billion USD,Jeff Harmening,USA
SYSCO CORPORATION,487,41.248 Billion USD,40.787 Billion USD,Edward D. Shirley,USA
CINTAS CORPORATION,488,41.226 Billion USD,40.751 Billion USD,Scott D. Farmer,USA
FANUC CORPORATION,489,41.129 Billion USD,42.743 Billion USD,Seiuemon Inaba,Japan
AFLAC,490,41.121 Billion USD,38.018 Billion USD,Daniel P. Amos,USA
COMPASS GROUP,491,41.111 Billion USD,37.274 Billion USD,,UK
AVENUE SUPERMARTS,492,41.071 Billion USD,35.994 Billion USD,,India
TWILIO,493,41.051 Billion USD,63.235 Billion USD,Jeff Lawson,USA
CRH PLC,494,41.041 Billion USD,41.660 Billion USD,,Ireland
HYUNDAI MOTOR COMPANY,495,41.028 Billion USD,42.512 Billion USD,Chung Eui-sun,South Korea
TOKIO MARINE HOLDINGS,496,40.964 Billion USD,34.380 Billion USD,Satoru Komiya,Japan
THE TRAVELERS COMPANIES,497,40.897 Billion USD,39.847 Billion USD,Alan D. Schnitzer,USA
DANONE,498,40.795 Billion USD,47.706 Billion USD,,Switzerland
DAIICHI SANKYO COMPANY,499,40.765 Billion USD,41.951 Billion USD,George Nakayama,Japan
AMBEV,500,40.762 Billion USD,51.776 Billion USD,Jean Jereissati,Brazil
BANK OF NINGBO,501,40.667 Billion USD,30.055 Billion USD,Hua Yu Lu,China
KKR & CO,502,40.658 Billion USD,37.483 Billion USD,Henry R. Kravis,USA
HEXAGON AB (PUBL),503,40.645 Billion USD,45.496 Billion USD,Ola Rollen,Sweden
PARTNERS GROUP HOLDING AG,504,40.541 Billion USD,46.940 Billion USD,David Layton,Switzerland
REALTY INCOME CORPORATION,505,40.401 Billion USD,28.192 Billion USD,Michael D. McKee,USA
THE HERSHEY COMPANY,506,40.346 Billion USD,36.613 Billion USD,Richard H Lenny,USA
INNER MONGOLIA YILI INDUSTRIAL GROUP,507,40.246 Billion USD,33.008 Billion USD,Gang Pan,China
XPENG MOTORS,508,40.178 Billion USD,36.369 Billion USD,He Xiaopeng,China
SHANGHAI PUDONG DEVELOPMENT BANK,509,40.062 Billion USD,40.418 Billion USD,Gao Guofu,China
PPG INDUSTRIES,510,39.815 Billion USD,37.870 Billion USD,Michael H. McGarry,USA
ARISTA NETWORKS,511,39.789 Billion USD,28.349 Billion USD,Andy Bechtolsheim,USA
ALCON,512,39.766 Billion USD,40.410 Billion USD,Michael Ball,Switzerland
YUM! BRANDS,513,39.676 Billion USD,38.739 Billion USD,David Gibbs,USA
NUTRIEN,514,39.458 Billion USD,34.702 Billion USD,Russell Girling,Canada
CHINA VANKE,515,39.431 Billion USD,36.546 Billion USD,Wang Shi,China
OVERSEA-CHINESE BANKING CORPORATION,516,39.365 Billion USD,38.722 Billion USD,Low Choon Seng,Singapore
MANULIFE FINANCIAL CORPORATION,517,39.261 Billion USD,37.836 Billion USD,John Cassaday,Canada
KINDER MORGAN,518,39.159 Billion USD,36.876 Billion USD,Richard Kinder,USA
NESTE OYJ,519,39.108 Billion USD,47.883 Billion USD,Peter Vanacker,Finland
SEVEN & I HOLDINGS,520,39.103 Billion USD,39.667 Billion USD,Ryuichi Isaka,Japan
MITSUI & CO.,521,39.069 Billion USD,36.546 Billion USD,Tatsuo Yasunaga,Japan
ARCHER-DANIELS-MIDLAND COMPANY,522,39.055 Billion USD,33.562 Billion USD,Juan Ricardo Luciano,USA
ALEXION PHARMACEUTICALS,523,39.000 Billion USD,39.000 Billion USD,David R. Brennan,USA
ITAU UNIBANCO HOLDING,524,38.924 Billion USD,57.995 Billion USD,Roberto Egydio Setubal,Brazil
JIANGSU YANGHE BREWERY JOINT-STOCK,525,38.888 Billion USD,38.654 Billion USD,Lian Dong Zhang,China
CAPGEMINI SE,526,38.876 Billion USD,37.746 Billion USD,,France
SUNCOR ENERGY,527,38.699 Billion USD,27.698 Billion USD,Michael Wilson,Canada
SARTORIUS STEDIM BIOTECH,528,38.531 Billion USD,49.859 Billion USD,,Germany
CHINA PACIFIC INSURANCE GROUP (CPIC),529,38.512 Billion USD,37.746 Billion USD,Kong Qingwei,China
COMPAGNIE DE SAINT-GOBAIN,530,38.477 Billion USD,38.153 Billion USD,,France
KUEHNE + NAGEL INTERNATIONAL AG,531,38.466 Billion USD,43.962 Billion USD,Joerg Wolle,Switzerland
FERGUSON,532,38.468 Billion USD,32.412 Billion USD,,UK
OLD DOMINION FREIGHT LINE,533,38.253 Billion USD,33.437 Billion USD,David S. Congdon,USA
WELLTOWER,534,38.230 Billion USD,36.991 Billion USD,Kenneth J. Bacon,USA
MCKESSON CORPORATION,535,38.134 Billion USD,31.575 Billion USD,John H. Hammergren,USA
WILL SEMICONDUCTOR,536,38.113 Billion USD,33.416 Billion USD,,China
ROCKWELL AUTOMATION,537,38.038 Billion USD,37.761 Billion USD,Blake Moret,USA
KBC GROUP NV,538,38.016 Billion USD,35.530 Billion USD,,Belgium
THE TRADE DESK,539,37.941 Billion USD,38.318 Billion USD,Jeff Green,USA
"BEIJING-SHANGHAI HIGH-SPEED RAILWAY CO.,LTD.",540,37.936 Billion USD,36.020 Billion USD,,China
BAJAJ FINSERV,541,37.855 Billion USD,37.394 Billion USD,,India
SBA COMMUNICATIONS CORPORATION,542,37.846 Billion USD,39.419 Billion USD,Jeffrey Stoops,USA
SAIC MOTOR CORPORATION,543,37.824 Billion USD,34.455 Billion USD,Chen Hong,China
BOC HONG KONG,544,37.817 Billion USD,32.712 Billion USD,Gao Yingxin,Hong Kong
NATWEST GROUP,545,37.790 Billion USD,34.129 Billion USD,,UK
KUAISHOU TECHNOLOCY,546,37.733 Billion USD,45.402 Billion USD,,China
ERICSSON,547,37.525 Billion USD,39.512 Billion USD,Borje Ekholm,Sweden
ANTA SPORTS PRODUCTS,548,37.360 Billion USD,57.108 Billion USD,,China
ZHANGZHOU PIENTZEHUANG PHARMACEUTICAL. LTD,549,37.278 Billion USD,31.415 Billion USD,,China
ELECTRONIC ARTS,550,37.268 Billion USD,41.324 Billion USD,Lawrence F. Probst III,USA
XCEL ENERGY,551,37.223 Billion USD,37.168 Billion USD,Bob Frenzel,USA
GREE ELECTRIC APPLIANCES,552,37.202 Billion USD,37.592 Billion USD,Dong Mingzhu,China
DSM,553,37.187 Billion USD,36.527 Billion USD,,Netherlands
STATE STREET CORPORATION,554,37.170 Billion USD,31.915 Billion USD,Ronald Logue,USA
BLOOMBERG LP,554,554,554,,USA
HANG SENG BANK,555,37.157 Billion USD,35.143 Billion USD,Irene Lee,Hong Kong
ROSS STORES,556,37.096 Billion USD,42.283 Billion USD,Gunnar Bjorklund,USA
